日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-12-15,ST,grass,好,1400,266,05,光年魅力,2,11,3,58.9,59.42,0.92,22.6,-0.55,82.02,0.37,8,飛輪步,鈦易搵,大浪圖田,艾兆禮,布文,3,119,132
2025-01-05,ST,grass,好,1400,327,04,光年魅力,2,11,11,60.28,61.08,2.58,21.56,-1.59,82.64,0.99,12,包裝福星,鈦易搵,有目共賞,艾兆禮,布文,3,119,132
2025-01-19,ST,grass,好/快,1400,362,03,光年魅力,2,11,1,58.22,58.42,-0.08,23.25,0.1,81.67,0.02,6,錶之宇宙,自力更生,光年魅力,潘頓,布文,3,121,132
2025-02-09,ST,grass,好,1400,413,01,光年魅力,2,11,13,58.89,59.17,0.67,22.13,-1.02,81.3,-0.35,7,光年魅力,至尊高超,糖不甩,潘頓,布文,3,124,132
2025-03-09,ST,grass,好/快,1600,495,03,光年魅力,2,11,6,70.61,70.89,-0.01,23.13,-0.67,94.02,-0.68,8,錶之宇宙,納百川,光年魅力,布文,布文,3,130,132
2025-04-13,ST,grass,好,1400,591,02,光年魅力,2,11,11,57.9,58.94,0.44,22.28,-0.87,81.22,-0.43,6,康樂高球,光年魅力,安泰,潘頓,布文,3,132,132
2025-05-10,ST,grass,好,1400,666,01,光年魅力,2,11,3,58.97,59.41,0.91,22.32,-0.83,81.73,0.08,7,光年魅力,至尊高超,自力更生,潘頓,布文,3,134,132
2025-06-08,ST,grass,好/快,1400,743,01,光年魅力,2,11,7,57.95,58.35,0.0,22.37,-0.73,80.72,-0.73,8,光年魅力,舞林密碼,競駿輝煌,潘頓,布文,2,121,132
2025-07-01,ST,grass,好,1400,802,01,光年魅力,2,11,10,57.62,58.18,-0.17,22.93,-0.17,81.11,-0.34,11,光年魅力,米奇,得道猴王,潘頓,布文,2,129,132
2025-09-28,ST,grass,好/快,1400,052,07,光年魅力,2,11,2,58.24,58.8,0.55,22.39,-0.46,81.19,0.09,12,祝願,合夥奔馳,越駿歡欣,潘頓,布文,0,125,132
2025-11-09,ST,grass,好,1400,169,01,光年魅力,2,11,3,57.25,58.13,-0.22,23.66,0.56,81.79,0.34,7,光年魅力,風再起時,駿跑得,潘頓,布文,2,130,132
2025-11-23,ST,grass,好/快,1600,204,08,光年魅力,2,11,11,69.25,69.65,-1.0,23.93,0.68,93.58,-0.32,7,錶之銀河,陽光勇士,越駿歡欣,潘頓,布文,0,123,132
2026-01-01,ST,grass,好,1400,310,08,光年魅力,2,11,6,56.89,57.65,-0.6,23.42,0.57,81.07,-0.03,9,風雲武士,舞林密碼,手機錶霸,潘頓,布文,0,132,132
2026-02-01,ST,grass,好,1400,396,03,光年魅力,2,11,6,58.12,58.36,0.01,22.98,0.08,81.34,0.09,6,手機錶霸,飛鷹翱翔,光年魅力,麥道朗,布文,1,132,132
2026-03-08,ST,grass,好,1200,504,09,光年魅力,2,11,10,45.85,46.77,0.57,22.22,-0.03,68.99,0.54,12,舉步生風,信心星,笑傲江湖,麥文堅,布文,1,126,132
2026-03-22,ST,grass,好/快,1400,544,04,光年魅力,2,11,10,57.38,58.26,-0.09,22.48,-0.62,80.74,-0.71,12,時時歡聲,韋金主,勁速威龍,麥文堅,布文,2,135,132
