馬匹編號,馬名,平均比標準時間
12,堅多福,0.0
6,爆出美麗,0.15
4,康昌之星,0.26
1,本領非凡,0.46
10,真叻仔,0.52
5,香港神駒,0.54
2,暴風之子,0.59
8,八心之星,0.62
11,手到再來,0.63
9,紅磚戰士,0.68
3,飛躍星伴,0.88
