馬匹編號,馬名,完成時間
10,時間寶,98.93
2,鬆啲,99.72
12,駟跑得,100.04
1,浪漫老撾,100.1
7,隨緣得勝,100.29
3,佳福駒,100.38
8,寶成智星,100.39
4,活力精神,100.45
