馬匹編號,馬名,平均比標準時間
11,喜馬,0.18
5,奮鬥輝煌,0.22
6,追風,0.24
2,紫荊歡呼,0.38
4,康昌之星,0.38
12,陸小鳳,0.5
7,極速滿貫,0.59
9,大數據,0.66
3,香港神駒,0.79
10,大浪園田,0.93
1,揀馬之皇,0.94
8,八心之星,1.01
