馬匹編號,馬名,平均比標準時間
3,鼓浪高升,-0.03
10,謙謙君子,-0.0
9,銀亮濠俠,0.01
6,皇金合,0.05
4,獵寶勤,0.16
1,風采人生,0.3
5,辣得金,0.53
2,一鹿歡騰,0.56
12,天火同心,0.58
7,機械騎士,0.64
11,威德勇士,0.72
8,喆喆友福,0.77
