馬匹編號,馬名,完成時間
9,銀亮濠俠,57.1
10,謙謙君子,57.31
3,鼓浪高升,57.32
5,辣得金,57.32
4,獵寶勤,57.34
12,天火同心,57.94
11,威德勇士,58.06
