horse_no,horses,win_odds,win_amount,place_odds,place_amount,prev_win_odds,prev_place_odds,prev_win_amount,prev_place_amount,win_amount_increase,place_amount_increase
10,寶成智星,30.0,799083.97,7.8,2289644.39,42.0,8.0,330926.46,1469760.6,1.41,0.56
3,祥勝將軍,1.7,14101481.87,1.2,14882688.56,2.2,1.4,6317686.87,8398632.0,1.23,0.77
12,竣誠駒,15.0,1598167.94,4.8,3720672.14,16.0,3.8,868681.95,3094232.84,0.84,0.2
11,君智盛,16.0,1498282.45,3.6,4960896.19,17.0,3.8,817583.01,3094232.84,0.83,0.6
4,凝妙星,9.9,2421466.58,2.5,7143690.51,10.0,2.7,1389891.11,4354846.22,0.74,0.64
5,蜜蜜送,11.0,2179319.92,2.6,6868933.18,10.0,2.5,1389891.11,4703233.92,0.57,0.46
8,獎星,27.0,887871.08,4.8,3720672.14,23.0,5.3,604300.48,2218506.57,0.47,0.68
6,愛心波,9.0,2663613.24,2.1,8504393.46,6.1,1.7,2278510.02,6916520.47,0.17,0.23
1,盈益善,15.0,1598167.94,3.2,5581008.21,10.0,3.1,1389891.11,3792930.58,0.15,0.47
7,一支箭,54.0,443935.54,10.0,1785922.63,36.0,8.3,386080.86,1416636.72,0.15,0.26
9,龍船快,38.0,630855.77,6.2,2880520.37,25.0,6.5,555956.45,1808936.12,0.13,0.59
2,大千氣象,23.0,1042283.44,5.7,3133197.59,15.0,4.8,926594.07,2449601.0,0.12,0.28
