horse_no,horses,win_odds,win_amount,place_odds,place_amount,prev_win_odds,prev_place_odds,prev_win_amount,prev_place_amount,win_amount_increase,place_amount_increase
10,團結勇士,6.9,2097653.37,2.2,7345899.0,7.3,2.3,1868998.51,6517593.26,0.12,0.13
3,幸運星球,7.6,1904448.45,2.7,5985547.33,8.0,2.8,1705461.14,5353737.32,0.12,0.12
11,勇霸龍,5.8,2495484.18,1.9,8505777.79,5.9,2.0,2312489.68,7495232.25,0.08,0.13
6,關鍵所在,22.0,657900.38,6.5,2486304.28,22.0,6.6,620167.69,2271282.5,0.06,0.09
4,金牌活力,19.0,761779.38,6.1,2649340.62,19.0,6.0,718088.9,2498410.75,0.06,0.06
1,真心傳奇,10.0,1447380.82,3.6,4489160.5,10.0,3.5,1364368.91,4282989.86,0.06,0.05
8,電源之駒,14.0,1033843.45,4.2,3847851.86,14.0,4.0,974549.22,3747616.12,0.06,0.03
2,鑽石星空,9.5,1523558.76,3.3,4897266.0,9.4,3.3,1451456.29,4542565.0,0.05,0.08
7,志滿同行,4.1,3530197.13,1.6,10100611.12,4.0,1.6,3410922.28,9369040.31,0.03,0.08
5,我做到,57.0,253926.46,17.0,950645.75,55.0,16.0,248067.07,936904.03,0.02,0.01
12,當家精彩,16.0,904613.02,4.8,3366870.38,15.0,4.6,909579.27,3258796.63,-0.01,0.03
9,東來欣賞,12.0,1206150.69,3.3,4897266.0,11.0,3.2,1240335.38,4684520.16,-0.03,0.05
