horse_no,horses,win_odds,win_amount,place_odds,place_amount,prev_win_odds,prev_place_odds,prev_win_amount,prev_place_amount,win_amount_increase,place_amount_increase
2,魔術控制,16.0,1393480.89,3.8,5187445.86,19.0,4.6,726983.88,2753160.05,0.92,0.88
1,顏色之皇,3.7,6025863.32,1.4,14080210.18,4.4,1.6,3139248.56,7915335.14,0.92,0.78
10,小霸王,10.0,2229569.43,3.1,6358804.6,11.0,2.9,1255699.43,4367081.46,0.78,0.46
9,得道猴王,17.0,1311511.43,3.8,5187445.86,17.0,4.0,812511.39,3166134.06,0.61,0.64
6,翠紅,3.5,6370198.37,1.6,12320183.91,3.5,1.5,3946483.91,8443024.15,0.61,0.46
7,友愛心得,8.1,2752554.85,2.3,8570562.72,7.9,2.3,1748442.24,5506320.1,0.57,0.56
8,競駿輝煌,4.2,5308498.64,1.6,12320183.91,4.0,1.6,3453173.42,7915335.14,0.54,0.56
5,飲杯,54.0,412883.23,12.0,1642691.19,42.0,9.8,328873.66,1292299.61,0.26,0.27
3,鈦易搵,28.0,796274.8,7.8,2527217.21,21.0,6.3,657747.32,2010243.85,0.21,0.26
4,勇敢巨星,24.0,928987.26,5.0,3942458.85,17.0,3.9,812511.39,3247316.98,0.14,0.21
