horse_no,horses,win_odds,win_amount,place_odds,place_amount,prev_win_odds,prev_place_odds,prev_win_amount,prev_place_amount,win_amount_increase,place_amount_increase
11,猛將兄,7.5,1982840.53,1.9,6303834.99,7.8,1.7,1703194.41,6319810.1,0.16,-0.0
6,富心星,9.8,1517480.0,2.1,5703469.75,10.0,2.1,1328491.64,5116036.75,0.14,0.11
5,彩虹七色,1.8,8261835.54,1.1,10888442.25,1.8,1.3,7380509.12,8264367.06,0.12,0.32
12,過關勇士,11.0,1351936.72,2.7,4436032.03,11.0,2.9,1207719.68,3704716.27,0.12,0.2
7,觀萬象,37.0,401927.13,9.6,1247634.01,37.0,9.4,359051.8,1142944.38,0.12,0.09
1,勝多多,22.0,675968.36,4.7,2548358.82,22.0,4.4,603859.84,2441744.81,0.12,0.04
9,風火猴王,10.0,1487130.4,2.6,4606648.64,10.0,2.4,1328491.64,4476532.16,0.12,0.03
3,鑽飾閃耀,15.0,991420.26,4.6,2603757.93,14.0,4.6,948922.6,2335581.99,0.04,0.11
8,弘智多寶,93.0,159906.49,19.0,630383.5,85.0,17.0,156293.13,631981.01,0.02,-0.0
4,良駒好友,21.0,708157.33,4.3,2785415.46,19.0,4.0,699206.13,2685919.29,0.01,0.04
10,多多開心,61.0,243791.87,11.0,1088844.22,54.0,9.9,246016.97,1085219.92,-0.01,0.0
2,新力飆,40.0,371782.6,8.9,1345762.53,35.0,7.6,379569.04,1413641.73,-0.02,-0.05
