horse_no,horses,win_odds,win_amount,place_odds,place_amount,prev_win_odds,prev_place_odds,prev_win_amount,prev_place_amount,win_amount_increase,place_amount_increase
2,巴閉王,5.3,1689285.25,2.0,4265683.54,7.2,2.8,771511.93,1815507.08,1.19,1.35
12,環球英雄,6.9,1297566.93,1.7,5018451.22,8.6,1.5,645916.96,3388946.55,1.01,0.48
9,有盈勇士,10.0,895321.19,3.3,2585262.75,11.0,3.8,504989.62,1337742.06,0.77,0.93
11,駿皇逸,86.0,104107.11,18.0,473964.84,94.0,18.0,59094.53,282412.21,0.76,0.68
7,潮流勇駒,23.0,389270.08,7.4,1152887.44,24.0,8.3,231453.58,612460.22,0.68,0.88
3,川河石駒,5.5,1627856.7,2.1,4062555.75,5.5,2.1,1009979.25,2420676.11,0.61,0.68
6,神異金剛,36.0,248700.33,8.8,969473.53,35.0,9.8,158711.02,518716.31,0.57,0.87
8,順成之星,17.0,526659.52,4.9,1741095.32,16.0,5.1,347180.37,996748.99,0.52,0.75
5,超霸勝,9.7,923011.53,3.4,2509225.61,8.6,3.3,645916.96,1540430.25,0.43,0.63
4,三強,9.5,942443.35,3.2,2666052.21,8.2,2.8,677425.11,1815507.08,0.39,0.47
10,明月清風,10.0,895321.19,3.4,2509225.61,8.5,3.3,653515.99,1540430.25,0.37,0.63
1,凱皇寶,6.2,1444066.43,2.5,3412546.83,5.1,2.3,1089193.31,2210182.53,0.33,0.54
