horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
9,龍傲綾羅,2.8,2.6,0.08,299442.88,180765.75,118677.13,1.5,1.8,-0.17,443601.4,216347.08,227254.32
13,盛勢威楓,3.7,4.0,-0.07,226605.43,117497.74,109107.69,1.2,1.0,0.2,554501.75,389424.75,165077.0
1,繼往開來,12.0,15.0,-0.2,69870.01,31332.73,38537.28,3.2,4.4,-0.27,207938.16,88505.62,119432.54
12,嘉嘉友福,10.0,10.0,0.0,83844.01,46999.1,36844.91,3.2,3.4,-0.06,207938.16,114536.69,93401.47
4,龍城強將,13.0,13.0,0.0,64495.39,36153.15,28342.24,3.7,3.7,0.0,179838.41,105249.93,74588.48
6,安定神駒,12.0,11.0,0.09,69870.01,42726.45,27143.56,3.7,3.9,-0.05,179838.41,99852.5,79985.91
14,文武全能,13.0,12.0,0.08,64495.39,39165.91,25329.48,3.2,3.9,-0.18,207938.16,99852.5,108085.66
7,森林之王,15.0,15.0,0.0,55896.0,31332.73,24563.27,4.8,4.7,0.02,138625.44,82856.33,55769.11
3,共創歡欣,49.0,55.0,-0.11,17111.02,8545.29,8565.73,11.0,11.0,0.0,60491.1,35402.25,25088.85
8,保羅輝煌,50.0,44.0,0.14,16768.8,10681.61,6087.19,9.6,9.9,-0.03,69312.72,39335.83,29976.89
11,無極勇將,57.0,51.0,0.12,14709.47,9215.51,5493.96,10.0,11.0,-0.09,66540.21,35402.25,31137.96
2,志善思源,38.0,27.0,0.41,22064.21,17407.07,4657.14,12.0,10.0,0.2,55450.17,38942.47,16507.7
10,挺秀弘利,64.0,55.0,0.16,13100.63,8545.29,4555.34,12.0,13.0,-0.08,55450.17,29955.75,25494.42
5,觀萬象,90.0,84.0,0.07,9316.0,5595.13,3720.87,20.0,21.0,-0.05,33270.11,18544.04,14726.07
