horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
14,增旺,3.9,4.2,-0.07,122483.52,73289.27,49194.25,1.5,1.6,-0.06,247882.25,156569.02,91313.23
3,綫路萬里,5.2,5.0,0.04,91862.64,61562.99,30299.65,1.8,1.6,0.12,206568.54,156569.02,49999.52
4,嵐臣,7.0,7.0,0.0,68240.82,43973.56,24267.26,2.4,2.6,-0.08,154926.41,96350.16,58576.25
11,爆竹,6.4,6.0,0.07,74638.39,51302.49,23335.9,3.0,2.9,0.03,123941.12,86382.91,37558.21
1,百威多贏,11.0,12.0,-0.08,43425.97,25651.24,17774.73,4.3,4.0,0.07,86470.55,62627.61,23842.94
8,勁勇皇駒,15.0,18.0,-0.17,31845.71,17100.83,14744.88,5.0,6.0,-0.17,74364.68,41751.74,32612.94
5,紫荊戰士,11.0,10.0,0.1,43425.97,30781.49,12644.48,2.7,2.8,-0.04,137712.36,89468.01,48244.35
7,馬上盈,13.0,12.0,0.08,36745.06,25651.24,11093.82,3.5,3.4,0.03,106235.25,73679.54,32555.71
12,勝在當下,32.0,33.0,-0.03,14927.68,9327.72,5599.96,8.7,10.0,-0.13,42738.32,25051.04,17687.28
13,競駿傳奇,22.0,18.0,0.22,21712.99,17100.83,4612.16,5.9,4.8,0.23,63020.91,52189.67,10831.24
2,家傳之寶,50.0,57.0,-0.12,9553.71,5400.26,4153.45,11.0,13.0,-0.15,33802.12,19270.03,14532.09
6,種得好,42.0,40.0,0.05,11373.47,7695.37,3678.1,9.4,9.8,-0.04,39555.68,25562.29,13993.39
9,天德神影,41.0,34.0,0.21,11650.87,9053.38,2597.49,9.6,9.2,0.04,38731.6,27229.39,11502.21
10,飛越晨曦,111.0,100.0,0.11,4303.47,3078.15,1225.32,22.0,22.0,0.0,16901.06,11386.84,5514.22
