日期,場次,名次,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,騎師,實際負磅,沿途走位,完成時間,該仗步速,第一名,第二名,第三名,該仗末段
2026-01-07,332,11,"跑馬地草地""A""",1200,好,3,9,班德禮,125,9 8 11,1.10.59,46.59,精彩駿將,好節拍,太子,23.4
2026-01-21,372,12,沙田全天候,1200,好,3,10,班德禮,127,11 12 12,1.10.92,44.58,熾烈神駒,晶晶日上,穿甲戰鷹,24.26
2026-02-01,404,13,"沙田草地""B+2""",1400,好,3,2,楊明綸,119,8 7 7 13,1.23.02,58.30,綠野飛馳,韋金主,新力好,24.08
