日期,場次,名次,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,騎師,實際負磅,沿途走位,完成時間,該仗步速,第一名,第二名,第三名,該仗末段
2025-01-19,362,04,"沙田草地""A""",1400,好/快,3,14,梁家俊,122,14 14 11 4,1.21.74,58.22,錶之宇宙,自力更生,光年魅力,22.72
2025-02-16,437,10,"沙田草地""C+3""",1600,好/快,3,8,梁家俊,122,13 13 10 10,1.34.65,1:11.11,仁心星,天將龍駒,不同世界,22.58
2025-03-23,528,06,"沙田草地""A""",1400,好/快,3,9,莫雷拉,124,3 4 5 6,1.21.46,58.35,安泰,穿甲戰鷹,美麗邂逅,22.79
2025-04-27,629,01,"沙田草地""A""",1400,好,3,1,莫雷拉,123,7 6 4 1,1.21.27,57.75,大眾福星,美麗邂逅,哈羅威,23.08
2025-05-31,725,02,"沙田草地""B""",1400,好,3,11,潘頓,129,8 8 8 2,1.21.39,58.19,嘉應奇兵,大眾福星,元朗精英,22.44
2025-10-19,112,02,"沙田草地""C+3""",1400,好/快,3,10,潘頓,127,10 11 10 2,1.21.04,57.30,駿奕快車,大眾福星,哈羅威,23.06
2025-11-23,207,03,"沙田草地""B+2""",1400,好/快,3,13,潘頓,131,7 7 6 3,1.21.99,58.79,同心同樂,勇冠群英,大眾福星,22.64
2025-12-14,262,02,"沙田草地""A""",1400,好,3,7,潘頓,130,4 6 5 2,1.21.74,58.31,榮駿大道,大眾福星,百威多贏,22.79
2026-01-04,324,05,"沙田草地""C""",1600,好,3,4,潘頓,134,7 8 8 5,1.35.28,1:11.65,開心勇駒,榮駿大道,高高至高,22.95
2026-02-01,404,05,"沙田草地""B+2""",1400,好,3,6,何澤堯,130,9 11 12 5,1.21.57,58.30,綠野飛馳,韋金主,新力好,22.31
