日期,場次,名次,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,騎師,實際負磅,沿途走位,完成時間,該仗步速,第一名,第二名,第三名,該仗末段
2024-02-25,450,03,"沙田草地""A+3""",1200,好,4,1,潘頓,129,8 6 3,1.10.01,46.34,龍之輝,增強,新力好,23.19
2024-03-31,548,07,"沙田草地""A+3""",1200,好,4,13,董明朗,127,11 12 7,1.10.56,46.22,大才,佳運發,勇霸龍,23.22
2024-04-20,599,01,"沙田草地""C+3""",1400,好,4,6,董明朗,123,1 1 1 1,1.21.56,58.90,新力好,陸知,無敵勇士,22.66
2024-05-19,682,08,"沙田草地""C+3""",1400,好,4,6,董明朗,135,1 1 1 8,1.23.06,58.22,龍城強將,妙算高歌,勁好運,24.84
2024-06-23,767,13,"沙田草地""A""",1400,好/快,4,1,艾兆禮,135,5 3 4 13,1.23.06,57.86,翹峯,連連歡呼,一起美麗,24.88
2024-10-13,100,09,"沙田草地""A+3""",1400,好/快,4,9,艾兆禮,134,8 8 7 9,1.22.40,58.62,紫荊歡呼,快活英雄,騰龍四海,23.46
2024-11-09,173,09,"沙田草地""A+3""",1400,好/快,4,4,董明朗,134,2 2 2 9,1.22.57,58.17,龍城強將,保羅傳奇,川河型駒,24.28
2024-12-22,281,02,"沙田草地""A+3""",1200,好,4,4,潘頓,132,3 4 2,1.09.44,46.03,天賜喜,新力好,熾烈神駒,23.05
2025-01-12,340,01,"沙田草地""C+3""",1200,好,4,8,潘頓,133,8 5 1,1.09.49,45.76,新力好,旺旺快駒,美神來,23.17
2025-01-31,396,02,"沙田草地""B+2""",1200,好,3,6,潘頓,120,4 4 2,1.09.28,46.47,駿跑得,新力好,魯班精神,22.61
2025-03-05,482,07,"跑馬地草地""C+3""",1200,好,3,7,莫雅,126,8 9 7,1.10.20,46.52,友愛心得,無限美麗,雪勇神駒,22.92
2025-03-30,551,07,"沙田草地""A+3""",1200,好,3,7,潘頓,123,8 7 7,1.10.01,46.11,風再起時,跨境寶馬,順成之星,23.5
2025-06-08,745,03,"沙田草地""C""",1000,好/快,3,13,艾兆禮,123,7 6 3,0.55.91,33.29,英勇快車,會長之寶,新力好,22.06
2025-07-01,804,13,"沙田草地""C""",1000,好,3,1,艾兆禮,123,12 10 13,0.57.54,33.52,英雄豪傑,展雄威,會長之寶,23.14
2025-10-26,131,04,"沙田草地""A""",1000,好/快,3,1,霍宏聲,127,13 11 4,0.56.62,33.63,星運傳奇,飛來閃耀,領航君子,22.19
2025-11-09,164,02,"沙田草地""C+3""",1200,好,3,5,何澤堯,123,8 7 2,1.10.20,46.02,綫路滿貫,新力好,晒冷,23.58
2025-11-23,202,08,"沙田草地""B+2""",1400,好,3,13,何澤堯,125,11 11 10 8,1.21.88,57.87,白鷺金剛,光年八十,超勁赤兔,22.89
2025-12-20,280,10,"沙田草地""C+3""",1200,好,3,9,何澤堯,124,10 10 10,1.10.02,46.41,錶之極光,八駿福昇,忠誠明駒,22.77
2026-01-18,363,08,"沙田草地""A""",1400,好/快,3,11,何澤堯,125,11 10 10 8,1.22.14,58.59,天星,綠野飛馳,做好自己,22.71
2026-02-01,404,03,"沙田草地""B+2""",1400,好,3,8,班德禮,120,12 12 9 3,1.21.43,58.30,綠野飛馳,韋金主,新力好,22.33
