日期,場次,名次,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,騎師,實際負磅,沿途走位,完成時間,該仗步速,第一名,第二名,第三名,該仗末段
2024-12-22,283,10,"沙田草地""A+3""",1200,好,3,4,潘頓,122,6 7 10,1.09.63,45.46,愛馬善,超霸勝,運高八斗,23.49
2025-01-22,374,07,"跑馬地草地""C""",1200,好,3,8,潘頓,124,2 2 7,1.10.00,46.76,美麗緣分,天足貓,競駿非凡,23.12
2025-01-31,396,11,"沙田草地""B+2""",1200,好,3,4,艾兆禮,119,11 12 11,1.10.07,46.47,駿跑得,新力好,魯班精神,22.76
2025-03-15,514,06,"沙田草地""C+3""",1400,好/黏,3,5,蔡明紹,118,2 2 2 6,1.23.34,59.79,康樂高球,首飾天空,信心星,23.43
2025-04-06,570,08,"沙田草地""B+2""",1400,好,3,3,蔡明紹,120,3 4 5 8,1.22.23,58.02,神馳,光年八十,膨才,23.53
2025-04-27,622,04,"沙田草地""A""",1400,好,4,5,艾兆禮,133,1 3 3 4,1.21.83,57.56,錶之星河,綠野飛馳,仁仁有餘,24.03
2025-05-10,661,02,"沙田草地""C""",1400,好,4,10,艾兆禮,131,2 1 1 2,1.22.30,59.17,閃光燈,同心同樂,豐辰,23.13
2025-06-08,742,03,"沙田草地""C""",1400,好/快,4,7,艾兆禮,132,3 4 4 3,1.22.22,58.74,久久為軍,多彩多姿,同心同樂,23.12
2025-06-28,795,01,"沙田草地""B""",1400,好,4,4,艾兆禮,132,2 2 2 1,1.21.71,57.95,同心同樂,一生好彩,糖不甩,23.68
2025-07-13,838,04,"沙田草地""A""",1400,好/快,3,4,田泰安,121,1 2 1 4,1.21.37,57.83,美麗星晨,勇冠群英,泰泰精神,23.54
2025-10-19,112,14,"沙田草地""C+3""",1400,好/快,3,8,艾兆禮,119,4 4 4 14,1.23.87,57.30,駿奕快車,大眾福星,哈羅威,26.25
2025-11-23,207,01,"沙田草地""B+2""",1400,好/快,3,9,希威森,121,1 1 1 1,1.21.98,58.79,同心同樂,勇冠群英,大眾福星,23.19
2025-12-20,282,04,"沙田草地""C+3""",1400,好,3,3,希威森,126,4 5 5 4,1.22.05,58.33,超勁赤兔,加州熱浪,做好自己,23.48
2026-01-18,363,06,"沙田草地""A""",1400,好/快,3,2,希威森,125,6 8 8 6,1.22.00,58.59,天星,綠野飛馳,做好自己,22.77
2026-02-01,404,06,"沙田草地""B+2""",1400,好,3,10,希威森,122,1 1 1 6,1.21.59,58.30,綠野飛馳,韋金主,新力好,23.29
