日期,場次,名次,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,騎師,實際負磅,沿途走位,完成時間,該仗步速,第一名,第二名,第三名,該仗末段
2026-01-04,320,07,"沙田草地""C""",1600,好,2,10,潘明輝,118,5 7 5 7,1.34.64,1:10.74,睿盛人生,太陽勇士,喜尊龍,23.54
2026-01-11,343,09,"沙田草地""C+3""",1600,好/快,3R,8,麥文堅,130,4 4 4 9,1.35.45,1:10.39,白鷺金剛,美麗星晨,超勁赤兔,24.74
2026-02-01,404,12,"沙田草地""B+2""",1400,好,3,12,潘明輝,129,7 8 11 12,1.22.65,58.30,綠野飛馳,韋金主,新力好,23.55
