日期,場次,名次,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,騎師,實際負磅,沿途走位,完成時間,該仗步速,第一名,第二名,第三名,該仗末段
2026-01-11,344,03,"沙田草地""C+3""",1400,好/快,3,14,巫顯東,118,14 14 14 3,1.22.64,59.79,一生好彩,紫荊盛勢,凌登,21.97
2026-02-01,404,04,"沙田草地""B+2""",1400,好,3,3,巫顯東,116,5 5 5 4,1.21.50,58.30,綠野飛馳,韋金主,新力好,22.76
