日期,場次,名次,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,騎師,實際負磅,沿途走位,完成時間,該仗步速,第一名,第二名,第三名,該仗末段
2026-01-18,363,14,"沙田草地""A""",1400,好/快,3,4,巴度,123,8 11 12 14,1.22.59,58.59,天星,綠野飛馳,做好自己,23.08
2026-02-01,404,14,"沙田草地""B+2""",1400,好,3,5,潘大衛,120,6 6 10 14,1.23.09,58.30,綠野飛馳,韋金主,新力好,23.99
