horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
9,龍又生,3.2,4.1,-0.22,1221680.62,57944.38,1163736.24,1.5,1.8,-0.17,1852990.15,84917.71,1768072.44
6,富裕君子,4.1,3.4,0.21,953506.83,69874.1,883632.73,2.1,1.9,0.11,1323564.39,80448.36,1243116.03
11,勁爽,8.4,11.0,-0.24,465402.14,21597.45,443804.69,2.4,2.7,-0.11,1158118.84,56611.81,1101507.03
7,東方寶寶,9.1,10.0,-0.09,429601.98,23757.19,405844.79,2.4,2.9,-0.17,1158118.84,52707.54,1105411.3
10,華美之威,10.0,8.5,0.18,390937.8,27949.64,362988.16,3.7,2.8,0.32,751212.22,54589.96,696622.26
8,魔法速遞,13.0,18.0,-0.28,300721.38,13198.44,287522.94,3.1,3.9,-0.21,896608.14,39192.79,857415.35
1,歡樂老撾,14.0,14.0,0.0,279241.29,16969.42,262271.87,4.2,3.9,0.08,661782.2,39192.79,622589.41
4,星之願,18.0,16.0,0.12,217187.67,14848.25,202339.42,4.9,5.4,-0.09,567241.88,28305.9,538935.98
3,小皇爺,19.0,16.0,0.19,205756.74,14848.25,190908.49,4.6,4.5,0.02,604235.92,33967.08,570268.84
5,科創世紀,27.0,17.0,0.59,144791.78,13974.82,130816.96,7.1,4.3,0.65,391476.79,35546.95,355929.84
12,常多笑,35.0,19.0,0.84,111696.51,12503.79,99192.72,6.4,4.0,0.6,434294.57,38212.97,396081.6
2,問鼎巔峰,46.0,46.0,0.0,84986.48,5164.61,79821.87,7.5,8.9,-0.16,370598.03,17174.37,353423.66
