horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
2,燭光晚餐,-0.27,8.6,12.0,-0.28,1758742.19,1260431.91,498310.28,2.5,3.4,-0.26,5764670.01,4238727.95,1525942.06
1,馬力,-0.06,5.3,5.4,-0.02,2853808.09,2800959.79,52848.3,1.7,1.9,-0.11,8477455.9,7585092.12,892363.78
12,領航君子,-0.04,22.0,23.0,-0.04,687508.31,657616.65,29891.66,4.5,4.7,-0.04,3202594.45,3066313.84,136280.61
8,友駿同心,-0.02,20.0,21.0,-0.05,756259.14,720246.8,36012.34,6.5,6.4,0.02,2217180.77,2251824.22,-34643.45
10,富心星,0.0,2.5,2.5,0.0,6050073.15,6050073.15,0.0,1.3,1.3,0.0,11085903.87,11085903.87,0.0
7,藍地球,0.01,43.0,42.0,0.02,351748.44,360123.4,-8374.96,10.0,10.0,0.0,1441167.5,1441167.5,0.0
11,飛來閃耀,0.02,27.0,27.0,0.0,560191.96,560191.96,0.0,6.7,6.5,0.03,2150996.27,2217180.77,-66184.5
9,贏完又贏,0.03,127.0,124.0,0.02,119095.93,121977.28,-2881.35,30.0,29.0,0.03,480389.17,496954.31,-16565.14
6,怡傲錢莊,0.03,13.0,12.0,0.08,1163475.61,1260431.91,-96956.3,3.4,3.5,-0.03,4238727.95,4117621.44,121106.51
5,品德寶寶,0.08,9.0,8.3,0.08,1680575.87,1822311.19,-141735.32,2.6,2.4,0.08,5542951.93,6004864.59,-461912.66
4,價值傳承,0.18,7.2,5.5,0.31,2100719.84,2750033.25,-649313.41,2.3,2.2,0.05,6265945.66,6550761.37,-284815.71
3,紅逸舍,0.45,31.0,20.0,0.55,487909.12,756259.14,-268350.02,6.9,5.1,0.35,2088648.55,2825818.63,-737170.08
