horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,志滿同行,-0.26,3.4,4.8,-0.29,9079471.74,4500311.23,4579160.51,1.3,1.7,-0.24,21312345.58,11780381.74,9531963.84
5,非凡豪傑,-0.2,53.0,63.0,-0.16,582456.68,342880.86,239575.82,13.0,17.0,-0.24,2131234.56,1178038.17,953196.39
7,金牌活力,-0.17,22.0,28.0,-0.21,1403191.09,771481.93,631709.16,5.8,6.7,-0.13,4776905.04,2989052.08,1787852.96
12,包裝明將,0.0,3.3,3.3,0.0,9354607.25,6545907.25,2808700.0,1.6,1.6,0.0,17316280.78,12516655.59,4799625.19
3,好好戀愛,0.01,4.9,4.8,0.02,6300041.62,4500311.23,1799730.39,1.6,1.6,0.0,17316280.78,12516655.59,4799625.19
10,撼天鐵翼,0.08,9.1,8.2,0.11,3392330.1,2634328.53,758001.57,2.5,2.4,0.04,11082419.7,8344437.06,2737982.64
9,快活英雄,0.19,14.0,11.0,0.27,2205014.57,1963772.17,241242.4,3.1,2.8,0.11,8937435.24,7152374.62,1785060.62
2,真心傳奇,0.25,25.0,19.0,0.32,1234808.16,1136920.73,97887.43,6.8,5.7,0.19,4074419.01,3513447.18,560971.83
6,粵港資駒,0.25,16.0,12.0,0.33,1929387.75,1800124.49,129263.26,4.1,3.5,0.17,6757572.99,5721899.7,1035673.29
11,御登,0.27,62.0,45.0,0.38,497906.51,480033.2,17873.31,14.0,12.0,0.17,1979003.52,1668887.41,310116.11
4,好節拍,0.28,18.0,13.0,0.38,1715011.33,1661653.38,53357.95,4.2,3.6,0.17,6596678.39,5562958.04,1033720.35
8,多威心得,0.3,161.0,116.0,0.39,191740.4,186219.78,5520.62,35.0,29.0,0.21,791601.41,690574.1,101027.31
