horse_no,horses,win_odds,win_amount,place_odds,place_amount
11,雷神太保,2.2,10480000.5,1.4,15867392.95
12,過關勇士,5.2,4433846.37,1.4,15867392.95
8,小魔怪,5.8,3975172.6,1.7,13067264.78
4,紅錢到,11.0,2096000.1,3.4,6533632.39
1,伶俐驫駒,14.0,1646857.22,3.0,7404783.37
7,銀刺勇士,17.0,1356235.36,4.4,5048715.94
9,天下寵兒,17.0,1356235.36,4.3,5166127.94
5,天外富天,25.0,922240.04,5.7,3897254.41
6,中環精英,38.0,606736.87,9.4,2363228.74
10,前衛火影,43.0,536186.07,9.1,2441137.38
2,戀愛狂,55.0,419200.02,11.0,2019486.38
3,勝多多,61.0,377967.23,12.0,1851195.84
