horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
8,豐辰,-0.4,10.0,19.0,-0.47,1765179.82,179510.14,1585669.68,2.9,4.3,-0.33,6389602.24,530087.44,5859514.8
12,包裝戰仕,-0.34,13.0,22.0,-0.41,1357830.63,155031.49,1202799.14,3.8,5.2,-0.27,4876275.39,438341.54,4437933.85
11,祥勝將軍,-0.11,3.3,3.5,-0.06,5349029.75,974483.64,4374546.11,1.6,1.9,-0.16,11581154.06,1199671.58,10381482.48
1,奔放,-0.1,5.3,5.4,-0.02,3330527.96,631609.76,2698918.2,1.7,2.1,-0.19,10899909.71,1085417.14,9814492.57
6,勁大威猛,0.06,28.0,30.0,-0.07,630421.36,113689.76,516731.6,7.6,6.4,0.19,2438137.7,356152.5,2081985.2
3,中國心,0.08,6.1,5.3,0.15,2893737.41,643526.93,2250210.48,1.7,1.7,0.0,10899909.71,1340809.41,9559100.3
4,哪吒,0.12,17.0,19.0,-0.11,1038341.07,179510.14,858830.93,5.9,4.4,0.34,3140651.95,518040.0,2622611.95
5,友贏威馳,0.25,6.6,5.3,0.25,2674514.88,643526.93,2030987.95,2.4,1.9,0.26,7720769.38,1199671.58,6521097.8
9,紫辰之星,0.26,10.0,8.8,0.14,1765179.82,387578.72,1377601.1,3.2,2.3,0.39,5790577.03,991033.04,4799543.99
2,智勇名駒,0.32,25.0,19.0,0.32,706071.93,179510.14,526561.79,6.1,4.6,0.33,3037679.75,495516.52,2542163.23
7,星價,0.42,97.0,81.0,0.2,181977.3,42107.32,139869.98,23.0,14.0,0.64,805645.5,162812.57,642832.93
10,妙算強人,0.48,144.0,110.0,0.31,122581.93,31006.3,91575.63,33.0,20.0,0.65,561510.5,113968.8,447541.7
