horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
3,皇者有利,-0.22,9.9,12.0,-0.17,1377536.17,296511.53,1081024.64,2.2,3.0,-0.27,5721798.0,694860.37,5026937.63
8,福進,-0.17,4.1,4.7,-0.13,3326245.87,757050.72,2569195.15,1.5,1.9,-0.21,8391970.4,1097147.96,7294822.44
1,添開心,-0.09,9.4,9.9,-0.05,1450809.37,359407.92,1091401.45,2.1,2.4,-0.12,5994264.57,868575.47,5125689.1
6,鴻圖新星,-0.02,6.3,6.5,-0.03,2164699.69,547405.9,1617293.79,2.0,2.0,0.0,6293977.8,1042290.56,5251687.24
4,美麗登場,0.05,2.4,2.2,0.09,5682336.69,1617335.62,4065001.07,1.4,1.4,0.0,8991396.86,1488986.52,7502410.34
11,萬眾開心,0.06,18.0,17.0,0.06,757644.89,209302.26,548342.63,4.0,3.8,0.05,3146988.9,548573.98,2598414.92
5,瑤瑤日上,0.18,25.0,22.0,0.14,545504.32,161733.56,383770.76,4.8,3.9,0.23,2622490.75,534507.98,2087982.77
10,星將,0.42,56.0,46.0,0.22,243528.72,77350.83,166177.89,13.0,8.0,0.62,968304.28,260572.64,707731.64
7,天火同人,0.46,34.0,24.0,0.42,401106.12,148255.77,252850.35,7.2,4.8,0.5,1748327.17,434287.73,1314039.44
12,妙玲瓏,0.52,57.0,41.0,0.39,239256.28,86783.86,152472.42,13.0,7.9,0.65,968304.28,263871.03,704433.25
2,電子好好,0.56,80.0,61.0,0.31,170470.1,58330.14,112139.96,15.0,8.3,0.81,839197.04,251154.35,588042.69
9,尚旋,0.76,108.0,76.0,0.42,126274.15,46817.61,79456.54,23.0,11.0,1.09,547302.42,189507.38,357795.04
