horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,win_prior_share,win_late_share,win_flow_ratio,win_flagged,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase,place_prior_share,place_late_share,place_flow_ratio,place_flagged,win_pool,place_pool
4,增強,-0.0418,6.2,6.1,0.0164,66937.44,53338.55,13598.89,0.1352,0.1251,0.9253,False,1.8,2.0,-0.1,165937.29,120408.75,45528.54,0.4125,0.6491,1.5735,False,503045.0,362045.0
13,傑出雷霆,-0.0241,7.9,8.0,-0.0125,52533.18,40670.64,11862.54,0.1031,0.1092,1.0586,False,2.7,2.8,-0.0357,110624.86,86006.25,24618.61,0.2946,0.351,1.1912,False,503045.0,362045.0
7,耀寶,-0.0232,47.0,45.0,0.0444,8830.05,7230.34,1599.71,0.0183,0.0147,0.803,False,10.0,11.0,-0.0909,29868.71,21892.5,7976.21,0.075,0.1137,1.5161,False,503045.0,362045.0
14,幸運糖,-0.0154,19.0,19.0,0.0,21842.74,17124.48,4718.26,0.0434,0.0434,1.0,False,6.3,6.5,-0.0308,47410.65,37048.85,10361.8,0.1269,0.1477,1.1639,False,503045.0,362045.0
6,健康快車,-0.0103,6.7,6.6,0.0152,61942.11,49297.75,12644.36,0.125,0.1164,0.9309,False,2.7,2.8,-0.0357,110624.86,86006.25,24618.61,0.2946,0.351,1.1912,False,503045.0,362045.0
3,星月飛雲,-0.0072,6.8,6.9,-0.0145,61031.19,47154.37,13876.82,0.1196,0.1277,1.0681,False,2.4,2.4,0.0,124452.97,100340.62,24112.35,0.3437,0.3438,1.0,False,503045.0,362045.0
1,飲杯,-0.0063,29.0,29.0,0.0,14310.76,11219.49,3091.27,0.0284,0.0284,1.0,False,7.8,7.9,-0.0127,38293.22,30483.23,7809.99,0.1044,0.1113,1.0662,False,503045.0,362045.0
5,冷娃,0.0114,3.5,3.7,-0.0541,118574.89,87936.53,30638.36,0.223,0.282,1.2645,False,1.4,1.3,0.0769,213347.95,185244.23,28103.72,0.6346,0.4007,0.6313,False,503045.0,362045.0
2,綫路滿貫,0.0161,10.0,10.0,0.0,41501.21,32536.52,8964.69,0.0825,0.0825,1.0,False,3.2,3.1,0.0323,93339.73,77683.06,15656.67,0.2661,0.2232,0.8387,False,503045.0,362045.0
11,威力飛騰,0.0187,130.0,121.0,0.0744,3192.4,2688.97,503.43,0.0068,0.0046,0.6795,False,26.0,27.0,-0.037,11487.97,8919.17,2568.8,0.0306,0.0366,1.1985,False,503045.0,362045.0
9,亞機拉,0.0306,52.0,49.0,0.0612,7981.0,6640.11,1340.89,0.0168,0.0123,0.7329,False,12.0,12.0,0.0,24890.59,20068.12,4822.47,0.0687,0.0688,1.0,False,503045.0,362045.0
10,鈁糖武士,0.0455,48.0,44.0,0.0909,8646.09,7394.66,1251.43,0.0187,0.0115,0.6142,False,9.7,9.7,0.0,30792.49,24826.55,5965.94,0.0851,0.0851,1.0,False,503045.0,362045.0
8,飛馬座,0.05,11.0,10.0,0.1,37728.38,32536.52,5191.86,0.0825,0.0478,0.5791,False,3.4,3.4,0.0,87849.15,70828.68,17020.47,0.2426,0.2426,1.0,False,503045.0,362045.0
12,龍虎精神,0.0776,91.0,83.0,0.0964,4560.57,3920.06,640.51,0.0099,0.0059,0.593,False,18.0,17.0,0.0588,16593.73,14165.74,2427.99,0.0485,0.0346,0.7133,False,503045.0,362045.0
