horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,win_prior_share,win_late_share,win_flow_ratio,win_flagged,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase,place_prior_share,place_late_share,place_flow_ratio,place_flagged,win_pool,place_pool
12,雙子美麗,-0.1818,36.0,44.0,-0.1818,33747.24,21059.64,12687.6,0.0187,0.0363,1.9365,False,9.0,11.0,-0.1818,102228.32,63350.77,38877.55,0.075,0.1437,1.916,False,1472607.0,1115218.0
4,幸運二十,-0.1714,24.0,28.0,-0.1429,50620.87,33093.73,17527.14,0.0295,0.0502,1.7024,False,6.0,7.5,-0.2,153342.47,92914.47,60428.0,0.11,0.2234,2.0305,True,1472607.0,1115218.0
13,包裝天王,-0.1036,10.0,11.0,-0.0909,121490.08,84238.57,37251.51,0.075,0.1066,1.4214,False,3.8,4.3,-0.1163,242119.7,162060.12,80059.58,0.1919,0.2959,1.5424,False,1472607.0,1115218.0
11,賢者威楓,-0.0505,4.2,4.4,-0.0455,289262.09,210596.44,78665.65,0.1875,0.2251,1.2007,False,1.7,1.8,-0.0556,541208.74,387143.62,154065.12,0.4583,0.5695,1.2425,False,1472607.0,1115218.0
8,高明豐勝,-0.0386,61.0,64.0,-0.0469,19916.41,14478.51,5437.9,0.0129,0.0156,1.2073,False,9.6,9.9,-0.0303,95839.05,70389.75,25449.3,0.0833,0.0941,1.1288,False,1472607.0,1115218.0
9,利高八斗,-0.0324,5.7,5.8,-0.0172,213140.49,159762.81,53377.68,0.1422,0.1528,1.0739,False,2.0,2.1,-0.0476,460027.42,331837.39,128190.03,0.3929,0.4738,1.2061,False,1472607.0,1115218.0
10,星光大道,0.0,11.0,11.0,0.0,110445.52,84238.57,26206.95,0.075,0.075,1.0,False,3.6,3.6,0.0,255570.79,193571.81,61998.98,0.2292,0.2292,1.0,False,1472607.0,1115218.0
1,馬馳登,0.0054,9.3,9.2,0.0109,130634.49,100720.04,29914.45,0.0897,0.0856,0.9547,False,3.0,3.0,0.0,306684.95,232286.17,74398.78,0.275,0.275,1.0,False,1472607.0,1115218.0
7,彪形勇將,0.0114,45.0,44.0,0.0227,26997.8,21059.64,5938.16,0.0187,0.017,0.9063,False,11.0,11.0,0.0,83641.35,63350.77,20290.58,0.075,0.075,1.0,False,1472607.0,1115218.0
3,蹺妙,0.0273,17.0,17.0,0.0,71464.75,54507.31,16957.44,0.0485,0.0485,1.0,False,5.8,5.5,0.0545,158630.15,126701.55,31928.6,0.15,0.118,0.7868,False,1472607.0,1115218.0
6,活力輝煌,0.0381,113.0,105.0,0.0762,10751.33,8824.99,1926.34,0.0079,0.0055,0.7016,False,20.0,20.0,0.0,46002.74,34842.93,11159.81,0.0413,0.0412,1.0,False,1472607.0,1115218.0
2,開心孖寶,0.0623,14.0,13.0,0.0769,86778.63,71278.79,15499.84,0.0635,0.0444,0.699,False,4.4,4.2,0.0476,209103.37,165918.7,43184.67,0.1964,0.1596,0.8126,False,1472607.0,1115218.0
14,我最好,0.0629,84.0,79.0,0.0633,14463.1,11729.42,2733.68,0.0104,0.0078,0.7491,False,17.0,16.0,0.0625,54120.87,43553.66,10567.21,0.0516,0.0391,0.7575,False,1472607.0,1115218.0
5,星運少爵,0.1649,3.7,3.5,0.0571,328351.56,264749.81,63601.75,0.2357,0.182,0.7722,False,1.4,1.1,0.2727,657182.04,633507.75,23674.29,0.75,0.0875,0.1167,False,1472607.0,1115218.0
