horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,win_prior_share,win_late_share,win_flow_ratio,win_flagged,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase,place_prior_share,place_late_share,place_flow_ratio,place_flagged,win_pool,place_pool
3,港邊小區,-0.1947,48.0,62.0,-0.2258,7418.26,4725.72,2692.54,0.0133,0.0352,2.6464,True,9.2,11.0,-0.1636,30914.45,21232.65,9681.8,0.075,0.1571,2.0942,True,431608.0,344743.0
7,錶之銀河,-0.1425,25.0,28.0,-0.1071,14243.06,10464.09,3778.97,0.0295,0.0494,1.6774,False,7.4,9.0,-0.1778,38434.19,25951.02,12483.17,0.0917,0.2025,2.2092,True,431608.0,344743.0
1,遠觀天象,-0.1407,4.7,5.2,-0.0962,75760.98,56345.12,19415.86,0.1587,0.2539,1.6005,False,2.2,2.7,-0.1852,129278.62,86503.39,42775.23,0.3056,0.6939,2.2711,True,431608.0,344743.0
9,百賀飛駒,-0.1164,26.0,29.0,-0.1034,13695.25,10103.26,3591.99,0.0284,0.047,1.6513,False,7.4,8.5,-0.1294,38434.19,27477.55,10956.64,0.0971,0.1777,1.8314,False,431608.0,344743.0
2,遨遊氣泡,-0.0868,15.0,16.0,-0.0625,23738.44,18312.16,5426.28,0.0516,0.071,1.3763,False,4.0,4.5,-0.1111,71103.24,51902.03,19201.21,0.1833,0.3115,1.6991,False,431608.0,344743.0
6,紅運帝王,-0.0845,22.0,26.0,-0.1538,16185.3,11269.02,4916.28,0.0317,0.0643,2.0263,True,6.5,6.6,-0.0152,43755.84,35387.75,8368.09,0.125,0.1358,1.086,False,431608.0,344743.0
12,禪勝輝煌,-0.0429,101.0,105.0,-0.0381,3525.51,2790.43,735.08,0.0079,0.0096,1.2235,False,20.0,21.0,-0.0476,14220.65,11121.86,3098.79,0.0393,0.0503,1.2796,False,431608.0,344743.0
13,合夥奔馳,-0.0396,100.0,103.0,-0.0291,3560.77,2844.61,716.16,0.008,0.0094,1.1693,False,19.0,20.0,-0.05,14969.1,11677.96,3291.14,0.0413,0.0534,1.2944,False,431608.0,344743.0
5,祝願,0.0015,5.2,5.0,0.04,68476.27,58598.93,9877.34,0.165,0.1292,0.7829,False,2.6,2.7,-0.037,109389.61,86503.39,22886.22,0.3056,0.3713,1.2151,False,431608.0,344743.0
8,一束芳花,0.0088,20.0,20.0,0.0,17803.83,14649.73,3154.1,0.0412,0.0413,1.0,False,5.8,5.7,0.0175,49036.72,40975.29,8061.43,0.1447,0.1308,0.9036,False,431608.0,344743.0
11,陽光勇士,0.0346,37.0,35.0,0.0571,9623.69,8371.27,1252.42,0.0236,0.0164,0.6949,False,8.4,8.3,0.012,33858.69,28139.66,5719.03,0.0994,0.0928,0.9334,False,431608.0,344743.0
4,金鑽貴人,0.0745,6.5,6.1,0.0656,54781.02,48031.91,6749.11,0.1352,0.0883,0.6526,False,1.3,1.2,0.0833,218779.21,194632.62,24146.59,0.6875,0.3917,0.5698,False,431608.0,344743.0
10,白鷺金剛,0.0804,5.8,5.6,0.0357,61392.52,52320.47,9072.05,0.1473,0.1186,0.8054,False,1.8,1.6,0.125,158007.21,145974.47,12032.74,0.5156,0.1952,0.3786,False,431608.0,344743.0
14,小鳥天堂,0.0867,5.4,4.9,0.102,65940.11,59794.82,6145.29,0.1684,0.0804,0.4773,False,3.0,2.8,0.0714,94804.32,83413.98,11390.34,0.2946,0.1848,0.6271,False,431608.0,344743.0
