horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,win_prior_share,win_late_share,win_flow_ratio,win_flagged,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase,place_prior_share,place_late_share,place_flow_ratio,place_flagged,win_pool,place_pool
7,領駿輝煌,-0.145,25.0,28.0,-0.1071,22402.71,15457.73,6944.98,0.0295,0.045,1.5282,False,6.7,8.2,-0.1829,58294.87,38228.79,20066.08,0.1006,0.2147,2.1341,True,678870.0,473425.0
2,堅先生,-0.106,8.2,7.9,0.038,68300.95,54786.89,13514.06,0.1044,0.0876,0.839,False,2.4,3.2,-0.25,162739.84,97961.27,64778.57,0.2578,0.6932,2.6886,True,678870.0,473425.0
5,鋁神,-0.0697,15.0,16.0,-0.0625,37337.85,27051.03,10286.82,0.0516,0.0667,1.2934,False,4.8,5.2,-0.0769,81369.92,60283.86,21086.06,0.1587,0.2256,1.4222,False,678870.0,473425.0
6,實力加,-0.0303,10.0,10.0,0.0,56006.78,43281.65,12725.13,0.0825,0.0825,1.0,False,3.1,3.3,-0.0606,125992.14,94992.75,30999.39,0.25,0.3317,1.3268,False,678870.0,473425.0
8,經典多寶,-0.0122,107.0,105.0,0.019,5234.28,4122.06,1112.22,0.0079,0.0072,0.9177,False,22.0,23.0,-0.0435,17753.44,13629.39,4124.05,0.0359,0.0441,1.2303,False,678870.0,473425.0
9,幸福約定,0.0161,6.4,6.2,0.0323,87510.59,69809.1,17701.49,0.1331,0.1148,0.8625,False,3.1,3.1,0.0,125992.14,101121.31,24870.83,0.2661,0.2661,1.0,False,678870.0,473425.0
13,天天更好,0.0172,10.0,10.0,0.0,56006.78,43281.65,12725.13,0.0825,0.0825,1.0,False,3.0,2.9,0.0345,130191.87,108095.2,22096.67,0.2845,0.2364,0.8311,False,678870.0,473425.0
4,金創福威,0.0172,30.0,29.0,0.0345,18668.92,14924.71,3744.21,0.0284,0.0243,0.8533,False,6.6,6.6,0.0,59178.12,47496.38,11681.74,0.125,0.125,1.0,False,678870.0,473425.0
11,大勇勝,0.0313,13.0,12.0,0.0833,43082.13,36068.04,7014.09,0.0688,0.0455,0.6614,False,4.7,4.8,-0.0208,83101.2,65307.52,17793.68,0.1719,0.1904,1.1078,False,678870.0,473425.0
1,超和平,0.05,2.7,3.0,-0.1,207432.5,144272.15,63160.35,0.275,0.4095,1.489,False,1.2,1.0,0.2,325479.69,313476.08,12003.61,0.825,0.1284,0.1557,False,678870.0,473425.0
3,千杯敬典,0.0739,13.0,12.0,0.0833,43082.13,36068.04,7014.09,0.0688,0.0455,0.6614,False,3.3,3.1,0.0645,118356.25,101121.31,17234.94,0.2661,0.1844,0.693,False,678870.0,473425.0
12,天寶威威,0.0761,20.0,18.0,0.1111,28003.39,24045.36,3958.03,0.0458,0.0257,0.5599,False,7.6,7.3,0.0411,51391.53,42941.93,8449.6,0.113,0.0904,0.8,False,678870.0,473425.0
10,杰遜仔,0.1076,40.0,35.0,0.1429,14001.69,12366.18,1635.51,0.0236,0.0106,0.4498,False,8.9,8.3,0.0723,43884.9,37768.2,6116.7,0.0994,0.0655,0.6585,False,678870.0,473425.0
14,駿美一生,0.1532,50.0,41.0,0.2195,11201.36,10556.5,644.86,0.0201,0.0042,0.2078,False,10.0,9.2,0.087,39057.56,34073.49,4984.07,0.0897,0.0533,0.5947,False,678870.0,473425.0
