horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,win_prior_share,win_late_share,win_flow_ratio,win_flagged,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase,place_prior_share,place_late_share,place_flow_ratio,place_flagged,win_pool,place_pool
5,時時歡聲,-0.1898,6.2,6.3,-0.0159,30647.29,23078.52,7568.77,0.131,0.1399,1.0687,False,2.1,3.3,-0.3636,75619.11,37023.5,38595.61,0.25,0.8694,3.4778,True,230319.0,192485.0
13,至尊高超,-0.1882,9.5,11.0,-0.1364,20001.39,13217.7,6783.69,0.075,0.1254,1.6724,False,3.8,5.0,-0.24,41789.51,24435.51,17354.0,0.165,0.3909,2.3693,True,230319.0,192485.0
8,會當凌,-0.1,24.0,24.0,0.0,7917.22,6058.11,1859.11,0.0344,0.0344,1.0,False,6.4,8.0,-0.2,24812.52,15272.19,9540.33,0.1031,0.2149,2.084,True,230319.0,192485.0
1,包裝天將,-0.0361,19.0,19.0,0.0,10000.69,7652.35,2348.34,0.0434,0.0434,1.0,False,7.7,8.3,-0.0723,20623.39,14720.19,5903.2,0.0994,0.133,1.3379,False,230319.0,192485.0
2,光年魅力,-0.0048,12.0,14.0,-0.1429,15834.43,10385.34,5449.09,0.0589,0.1008,1.7098,False,1.7,1.5,0.1333,93411.84,81451.7,11960.14,0.55,0.2694,0.4899,False,230319.0,192485.0
4,綠族無限,0.0,19.0,19.0,0.0,10000.69,7652.35,2348.34,0.0434,0.0434,1.0,False,6.5,6.5,0.0,24430.79,18796.55,5634.24,0.1269,0.1269,1.0,False,230319.0,192485.0
7,晒冷,0.0158,23.0,22.0,0.0455,8261.44,6608.85,1652.59,0.0375,0.0306,0.8148,False,7.1,7.2,-0.0139,22366.21,16969.1,5397.11,0.1146,0.1216,1.0611,False,230319.0,192485.0
3,風雲武士,0.0441,37.0,34.0,0.0882,5135.49,4276.31,859.18,0.0243,0.0159,0.6547,False,11.0,11.0,0.0,14436.38,11107.05,3329.33,0.075,0.075,1.0,False,230319.0,192485.0
11,極上紗瓏,0.0509,3.4,3.3,0.0303,55886.23,44059.0,11827.23,0.25,0.2187,0.8747,False,1.5,1.4,0.0714,105866.75,87269.68,18597.07,0.5893,0.4189,0.7109,False,230319.0,192485.0
6,鈦易搵,0.0747,29.0,27.0,0.0741,6552.18,5384.99,1167.19,0.0306,0.0216,0.7063,False,10.0,9.3,0.0753,15880.01,13137.37,2742.64,0.0887,0.0618,0.6965,False,230319.0,192485.0
12,千帆駒,0.0863,7.4,7.1,0.0423,25677.46,20478.13,5199.33,0.1162,0.0961,0.8274,False,2.6,2.3,0.1304,61076.97,53120.67,7956.3,0.3587,0.1792,0.4997,False,230319.0,192485.0
9,韋金主,0.105,8.1,7.4,0.0946,23458.42,19647.93,3810.49,0.1115,0.0705,0.632,False,2.9,2.6,0.1154,54758.66,46991.37,7767.29,0.3173,0.175,0.5514,False,230319.0,192485.0
14,英雄豪傑,0.1139,25.0,23.0,0.087,7600.53,6321.51,1279.02,0.0359,0.0236,0.6593,False,8.1,7.1,0.1408,19604.95,17208.11,2396.84,0.1162,0.054,0.4647,False,230319.0,192485.0
10,飛鷹翱翔,0.1364,36.0,33.0,0.0909,5278.14,4405.9,872.24,0.025,0.0161,0.6451,False,13.0,11.0,0.1818,12215.39,11107.05,1108.34,0.075,0.025,0.3329,False,230319.0,192485.0
