horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,win_prior_share,win_late_share,win_flow_ratio,win_flagged,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase,place_prior_share,place_late_share,place_flow_ratio,place_flagged,win_pool,place_pool
12,部族高手,-0.0641,6.9,7.1,-0.0282,57751.08,43022.12,14728.96,0.1162,0.1306,1.1242,False,2.7,3.0,-0.1,99041.56,68332.55,30709.01,0.275,0.4059,1.4761,False,483009.0,324136.0
7,奇異歡星,-0.0546,28.0,29.0,-0.0345,14231.52,10533.0,3698.52,0.0284,0.0328,1.153,False,6.2,6.7,-0.0746,43131.0,30596.66,12534.34,0.1231,0.1657,1.3455,False,483009.0,324136.0
8,綠色鐵驥,-0.0455,25.0,27.0,-0.0741,15939.3,11313.22,4626.08,0.0306,0.041,1.3427,False,5.8,5.9,-0.0169,46105.55,34745.36,11360.19,0.1398,0.1502,1.0739,False,483009.0,324136.0
4,嵐臣,-0.0291,8.7,8.9,-0.0225,45802.58,34321.02,11481.56,0.0927,0.1018,1.0985,False,2.7,2.8,-0.0357,99041.56,73213.45,25828.11,0.2946,0.3414,1.1587,False,483009.0,324136.0
5,勁勇皇駒,-0.0182,5.3,5.5,-0.0364,75185.36,55537.65,19647.71,0.15,0.1742,1.1616,False,2.1,2.1,0.0,127339.14,97617.93,29721.21,0.3929,0.3929,1.0,False,483009.0,324136.0
13,加州勇勝,-0.0175,19.0,19.0,0.0,20972.76,16076.69,4896.07,0.0434,0.0434,1.0,False,5.5,5.7,-0.0351,48620.4,35964.5,12655.9,0.1447,0.1673,1.1558,False,483009.0,324136.0
1,久久為尊,-0.0116,12.0,12.0,0.0,33206.87,25454.76,7752.11,0.0688,0.0687,1.0,False,4.2,4.3,-0.0233,63669.57,47673.87,15995.7,0.1919,0.2114,1.102,False,483009.0,324136.0
9,日日賞,-0.0086,5.7,5.8,-0.0172,69909.2,52665.01,17244.19,0.1422,0.1529,1.0752,False,2.6,2.6,0.0,102850.85,78845.25,24005.6,0.3173,0.3173,1.0,False,483009.0,324136.0
10,大才,0.0,10.0,10.0,0.0,39848.24,30545.71,9302.53,0.0825,0.0825,1.0,False,3.2,3.2,0.0,83566.31,64061.77,19504.54,0.2578,0.2578,1.0,False,483009.0,324136.0
14,星光快驅,0.0099,30.0,29.0,0.0345,13282.75,10533.0,2749.75,0.0284,0.0244,0.8572,False,6.7,6.8,-0.0147,39912.27,30146.71,9765.56,0.1213,0.1291,1.0639,False,483009.0,324136.0
6,文采風流,0.0414,21.0,20.0,0.05,18975.35,15272.85,3702.5,0.0412,0.0328,0.796,False,6.3,6.1,0.0328,42446.38,33606.17,8840.21,0.1352,0.1169,0.864,False,483009.0,324136.0
11,幸運威龍,0.0527,23.0,22.0,0.0455,17325.32,13884.41,3440.91,0.0375,0.0305,0.8138,False,5.3,5.0,0.06,50455.13,40999.53,9455.6,0.165,0.125,0.7575,False,483009.0,324136.0
3,機械之星,0.081,6.4,6.0,0.0667,62262.88,50909.51,11353.37,0.1375,0.1007,0.7323,False,2.3,2.1,0.0952,116266.17,97617.93,18648.24,0.3929,0.2465,0.6274,False,483009.0,324136.0
2,孤風潛影,0.1308,88.0,78.0,0.1282,4528.21,3916.12,612.09,0.0106,0.0054,0.5132,False,17.0,15.0,0.1333,15730.13,13666.51,2063.62,0.055,0.0273,0.4959,False,483009.0,324136.0
