horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,win_prior_share,win_late_share,win_flow_ratio,win_flagged,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase,place_prior_share,place_late_share,place_flow_ratio,place_flagged,win_pool,place_pool
14,佳駿年年,-0.2648,26.0,32.0,-0.1875,9604.43,6002.0,3602.43,0.0258,0.0516,1.9996,False,5.0,7.6,-0.3421,38509.51,19087.89,19421.62,0.1086,0.3375,3.1088,True,302685.0,233391.0
1,喜蓮勁感,-0.0515,8.2,8.3,-0.012,30453.06,23140.26,7312.8,0.0994,0.1046,1.0528,False,3.0,3.3,-0.0909,64182.52,43960.0,20222.52,0.25,0.3514,1.4055,False,302685.0,233391.0
9,三軍勇將,-0.0455,10.0,11.0,-0.0909,24971.51,17460.38,7511.13,0.075,0.1075,1.4331,False,3.8,3.8,0.0,50670.41,38175.79,12494.62,0.2171,0.2171,1.0,False,302685.0,233391.0
4,一世美麗,-0.025,4.7,4.7,0.0,53130.88,40864.71,12266.17,0.1755,0.1755,1.0,False,1.9,2.0,-0.05,101340.83,72534.0,28806.83,0.4125,0.5005,1.2134,False,302685.0,233391.0
7,超勁赤兔,-0.0143,6.8,7.0,-0.0286,36722.81,27437.73,9285.08,0.1179,0.1329,1.1274,False,2.1,2.1,0.0,91689.32,69080.0,22609.32,0.3929,0.3929,1.0,False,302685.0,233391.0
12,哈羅威,0.0,13.0,13.0,0.0,19208.86,14774.16,4434.7,0.0635,0.0635,1.0,False,4.1,4.1,0.0,46962.82,35382.44,11580.38,0.2012,0.2012,1.0,False,302685.0,233391.0
3,泰力,0.0282,9.3,9.2,0.0109,26851.09,20876.54,5974.55,0.0897,0.0855,0.9534,False,4.6,4.4,0.0455,41858.17,32970.0,8888.17,0.1875,0.1544,0.8237,False,302685.0,233391.0
13,心雄雄,0.04,17.0,17.0,0.0,14689.12,11297.89,3391.23,0.0485,0.0485,1.0,False,5.4,5.0,0.08,35656.96,29013.6,6643.36,0.165,0.1154,0.6996,False,302685.0,233391.0
11,加州熱浪,0.0517,19.0,17.0,0.1176,13142.9,11297.89,1845.01,0.0485,0.0264,0.5441,False,6.9,7.0,-0.0143,27905.45,20724.0,7181.45,0.1179,0.1248,1.0588,False,302685.0,233391.0
6,丞匡掠影,0.0552,20.0,19.0,0.0526,12485.76,10108.64,2377.12,0.0434,0.034,0.7834,False,5.5,5.2,0.0577,35008.65,27897.69,7110.96,0.1587,0.1236,0.7788,False,302685.0,233391.0
10,友瑩仁,0.0666,6.5,6.4,0.0156,38417.71,30010.02,8407.69,0.1289,0.1203,0.9334,False,1.9,1.7,0.1176,101340.83,85334.12,16006.71,0.4853,0.2781,0.5731,False,302685.0,233391.0
5,不同世界,0.0667,32.0,30.0,0.0667,7803.6,6402.14,1401.46,0.0275,0.0201,0.7293,False,9.6,9.0,0.0667,20057.04,16118.67,3938.37,0.0917,0.0684,0.7465,False,302685.0,233391.0
8,大文豪,0.0872,38.0,34.0,0.1176,6571.45,5648.94,922.51,0.0243,0.0132,0.5441,False,9.3,8.8,0.0568,20704.04,16485.0,4219.04,0.0938,0.0733,0.782,False,302685.0,233391.0
2,潮州精神,0.1073,20.0,18.0,0.1111,12485.76,10670.23,1815.53,0.0458,0.026,0.5669,False,6.4,5.8,0.1034,30085.56,25011.72,5073.84,0.1422,0.0882,0.6198,False,302685.0,233391.0
