horse_no,horses,average_odds_change,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,win_prior_share,win_late_share,win_flow_ratio,win_flagged,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase,place_prior_share,place_late_share,place_flow_ratio,place_flagged,win_pool,place_pool
10,騰達勇士,-0.1356,25.0,29.0,-0.1379,29330.4,19832.15,9498.25,0.0284,0.0496,1.7419,False,6.5,7.5,-0.1333,82762.73,55713.57,27049.16,0.11,0.1858,1.6891,False,888800.0,652070.0
4,唯美主義,-0.1203,19.0,23.0,-0.1739,38592.63,25005.75,13586.88,0.0359,0.0709,1.9762,False,4.2,4.5,-0.0667,128085.18,92855.95,35229.23,0.1833,0.242,1.3199,False,888800.0,652070.0
12,最好玩,-0.0517,25.0,26.0,-0.0385,29330.4,22120.47,7209.93,0.0317,0.0376,1.1855,False,7.2,7.7,-0.0649,74716.35,54266.46,20449.89,0.1071,0.1405,1.311,False,888800.0,652070.0
13,威力非凡,-0.0288,18.0,18.0,0.0,40736.67,31951.79,8784.88,0.0458,0.0458,1.0,False,4.9,5.2,-0.0577,109787.3,80356.11,29431.19,0.1587,0.2022,1.2742,False,888800.0,652070.0
7,旌採,-0.0093,5.3,5.4,-0.0185,138350.94,106505.97,31844.97,0.1528,0.1661,1.0875,False,2.4,2.4,0.0,224149.06,174104.91,50044.15,0.3438,0.3437,1.0,False,888800.0,652070.0
1,都靈冠星,-0.0016,8.5,8.1,0.0494,86265.88,71003.98,15261.9,0.1019,0.0796,0.7818,False,3.6,3.8,-0.0526,149432.71,109960.99,39471.72,0.2171,0.2711,1.2488,False,888800.0,652070.0
3,家傳之寶,0.0104,25.0,25.0,0.0,29330.4,23005.29,6325.11,0.033,0.033,1.0,False,4.9,4.8,0.0208,109787.3,87052.45,22734.85,0.1719,0.1562,0.9086,False,888800.0,652070.0
14,精算特殊,0.0109,24.0,24.0,0.0,30552.5,23963.84,6588.66,0.0344,0.0344,1.0,False,4.7,4.6,0.0217,114459.1,90837.34,23621.76,0.1793,0.1623,0.9047,False,888800.0,652070.0
11,隼風雲,0.0118,8.1,8.2,-0.0122,90525.93,70138.08,20387.85,0.1006,0.1064,1.0572,False,2.9,2.8,0.0357,185502.67,149232.78,36269.89,0.2946,0.2491,0.8456,False,888800.0,652070.0
9,綫路福將,0.0144,6.7,6.8,-0.0147,109441.79,84578.27,24863.52,0.1213,0.1297,1.0692,False,2.4,2.3,0.0435,224149.06,181674.68,42474.38,0.3587,0.2918,0.8134,False,888800.0,652070.0
2,劍飛聲,0.0185,10.0,10.0,0.0,73326.0,57513.23,15812.77,0.0825,0.0825,1.0,False,2.8,2.7,0.037,192127.77,154759.92,37367.85,0.3056,0.2567,0.84,False,888800.0,652070.0
5,大輝煌,0.0217,24.0,23.0,0.0435,30552.5,25005.75,5546.75,0.0359,0.0289,0.8068,False,7.5,7.5,0.0,71727.7,55713.57,16014.13,0.11,0.11,1.0,False,888800.0,652070.0
6,大回報,0.0242,6.5,6.2,0.0484,112809.23,92763.27,20045.96,0.1331,0.1046,0.786,False,3.3,3.3,0.0,163017.5,126621.75,36395.75,0.25,0.25,1.0,False,888800.0,652070.0
8,奮鬥輝煌,0.0725,12.0,11.0,0.0909,61105.0,52284.75,8820.25,0.075,0.046,0.6136,False,3.9,3.7,0.0541,137937.88,112932.91,25004.97,0.223,0.1718,0.7703,False,888800.0,652070.0
