馬匹編號,馬名,平均比標準時間
1,辣得準,-0.37
4,龍之悅,-0.31
2,維港激流,0.01
3,錶之浩瀚,0.03
10,華麗再贏,0.35
8,杭至尊,0.48
12,紅海風帆,0.65
9,金獅大俠,0.69
11,多多開心,0.75
7,威威神駒,1.22
6,福聚,1.47
