馬匹編號,馬名,平均比標準時間
2,醒目高球,-0.32
5,超寫意,0.01
6,興馳千里,0.08
7,三甲之星,0.08
3,競駿皇者,0.12
1,跨境寶馬,0.22
4,寶進,0.28
12,怡昌光輝,0.36
9,帥帥友福,0.46
8,勇冠群英,1.74
