馬匹編號,馬名,完成時間
8,確好勁,81.64
1,安泰,81.68
11,心雄雄,81.73
2,幸運風彩,81.87
4,亞機拉,81.94
10,閃光燈,81.98
5,亨驥,82.08
3,川河帥駒,82.85
