horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,快路,28.0,28.0,0.0,960021.15,960021.15,0.0,7.8,7.8,0.0,3221134.76,3221134.76,0.0
2,話你知,28.0,28.0,0.0,960021.15,960021.15,0.0,7.5,7.5,0.0,3349980.15,3349980.15,0.0
3,奔放,3.9,3.9,0.0,6892459.54,6892459.54,0.0,1.6,1.6,0.0,15703031.95,15703031.95,0.0
4,友瑩光,7.5,7.5,0.0,3584078.96,3584078.96,0.0,2.5,2.5,0.0,10049940.45,10049940.45,0.0
5,共享富裕,10.0,10.0,0.0,2688059.22,2688059.22,0.0,2.9,2.9,0.0,8663741.77,8663741.77,0.0
6,火焰閃爍,5.9,5.9,0.0,4556032.58,4556032.58,0.0,1.9,1.9,0.0,13223605.86,13223605.86,0.0
7,榮駿大道,5.0,5.0,0.0,5376118.44,5376118.44,0.0,1.9,1.9,0.0,13223605.86,13223605.86,0.0
8,發財先鋒,16.0,16.0,0.0,1680037.01,1680037.01,0.0,3.8,3.8,0.0,6611802.93,6611802.93,0.0
9,安帝,14.0,14.0,0.0,1920042.3,1920042.3,0.0,4.0,4.0,0.0,6281212.78,6281212.78,0.0
10,豐辰,9.8,9.8,0.0,2742917.57,2742917.57,0.0,3.2,3.2,0.0,7851515.98,7851515.98,0.0
11,勁大威猛,19.0,19.0,0.0,1414768.01,1414768.01,0.0,5.7,5.7,0.0,4407868.62,4407868.62,0.0
