horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,健康愉快,40.0,40.0,0.0,573081.71,573081.71,0.0,5.3,5.3,0.0,3315802.8,3315802.8,0.0
2,新意馬,94.0,94.0,0.0,243864.56,243864.56,0.0,16.0,16.0,0.0,1098359.68,1098359.68,0.0
3,玩笑,43.0,43.0,0.0,533099.27,533099.27,0.0,7.4,7.4,0.0,2374831.73,2374831.73,0.0
4,時時歡聲,2.5,2.5,0.0,9169307.4,9169307.4,0.0,1.2,1.2,0.0,14644795.69,14644795.69,0.0
5,飛鷹翱翔,13.0,13.0,0.0,1763328.35,1763328.35,0.0,2.7,2.7,0.0,6508798.08,6508798.08,0.0
6,綠族無限,44.0,44.0,0.0,520983.38,520983.38,0.0,7.9,7.9,0.0,2224525.93,2224525.93,0.0
7,平凡騎士,56.0,56.0,0.0,409344.08,409344.08,0.0,7.1,7.1,0.0,2475176.74,2475176.74,0.0
8,韋金主,2.6,2.6,0.0,8816641.73,8816641.73,0.0,1.2,1.2,0.0,14644795.69,14644795.69,0.0
9,遙遙領先,38.0,38.0,0.0,603243.91,603243.91,0.0,4.3,4.3,0.0,4086919.73,4086919.73,0.0
10,天星,4.2,4.2,0.0,5457921.07,5457921.07,0.0,1.4,1.4,0.0,12552682.02,12552682.02,0.0
