horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,紅衣醒目,3.7,3.7,0.0,5521523.88,5521523.88,0.0,1.6,1.6,0.0,12344929.78,12344929.78,0.0
2,凝妙星,4.8,4.8,0.0,4256174.66,4256174.66,0.0,1.8,1.8,0.0,10973270.92,10973270.92,0.0
3,捷威,5.4,5.4,0.0,3783266.36,3783266.36,0.0,2.0,2.0,0.0,9875943.82,9875943.82,0.0
4,好運年,13.0,13.0,0.0,1571510.64,1571510.64,0.0,3.5,3.5,0.0,5643396.47,5643396.47,0.0
5,萬事勝利,22.0,22.0,0.0,928619.92,928619.92,0.0,6.2,6.2,0.0,3185788.33,3185788.33,0.0
6,家樂寶駒,34.0,34.0,0.0,600871.72,600871.72,0.0,8.5,8.5,0.0,2323751.49,2323751.49,0.0
7,大回報,13.0,13.0,0.0,1571510.64,1571510.64,0.0,3.9,3.9,0.0,5064586.58,5064586.58,0.0
8,天蓬貓,11.0,11.0,0.0,1857239.85,1857239.85,0.0,3.2,3.2,0.0,6172464.89,6172464.89,0.0
9,隼風雲,18.0,18.0,0.0,1134979.91,1134979.91,0.0,4.9,4.9,0.0,4030997.48,4030997.48,0.0
10,趣盈,165.0,165.0,0.0,123815.99,123815.99,0.0,31.0,31.0,0.0,637157.67,637157.67,0.0
11,堅闖,42.0,42.0,0.0,486419.96,486419.96,0.0,10.0,10.0,0.0,1975188.77,1975188.77,0.0
12,威力非凡,20.0,20.0,0.0,1021481.92,1021481.92,0.0,5.2,5.2,0.0,3798439.93,3798439.93,0.0
13,堅多福,9.1,9.1,0.0,2245015.2,2245015.2,0.0,3.0,3.0,0.0,6583962.55,6583962.55,0.0
