horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,威武年代,4.7,4.7,0.0,4739265.16,4739265.16,0.0,1.5,1.5,0.0,11271267.7,11271267.7,0.0
2,幸運奇兵,1.7,1.7,0.0,13102674.26,13102674.26,0.0,1.1,1.1,0.0,15369910.5,15369910.5,0.0
3,機械之星,13.0,13.0,0.0,1713426.63,1713426.63,0.0,2.3,2.3,0.0,7350826.76,7350826.76,0.0
4,風捲殘雲,145.0,145.0,0.0,153617.56,153617.56,0.0,22.0,22.0,0.0,768495.53,768495.53,0.0
5,逍遙騎士,124.0,124.0,0.0,179633.44,179633.44,0.0,15.0,15.0,0.0,1127126.77,1127126.77,0.0
6,勁砲王,122.0,122.0,0.0,182578.25,182578.25,0.0,20.0,20.0,0.0,845345.08,845345.08,0.0
7,共創歡欣,132.0,132.0,0.0,168746.56,168746.56,0.0,18.0,18.0,0.0,939272.31,939272.31,0.0
8,加州勇勝,5.7,5.7,0.0,3907815.13,3907815.13,0.0,1.6,1.6,0.0,10566813.47,10566813.47,0.0
9,明亮天下,105.0,105.0,0.0,212138.54,212138.54,0.0,14.0,14.0,0.0,1207635.82,1207635.82,0.0
10,暴風一族,29.0,29.0,0.0,768087.8,768087.8,0.0,4.7,4.7,0.0,3597213.1,3597213.1,0.0
11,我最好,69.0,69.0,0.0,322819.51,322819.51,0.0,8.6,8.6,0.0,1965918.78,1965918.78,0.0
12,韋少寶,70.0,70.0,0.0,318207.8,318207.8,0.0,11.0,11.0,0.0,1536991.05,1536991.05,0.0
13,不勞而獲,114.0,114.0,0.0,195390.76,195390.76,0.0,21.0,21.0,0.0,805090.55,805090.55,0.0
14,文明福星,14.0,14.0,0.0,1591039.02,1591039.02,0.0,3.4,3.4,0.0,4972618.1,4972618.1,0.0
