horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
9,盛勢威楓,3.6,3.7,-0.03,470525.0,95127.41,375397.59,1.5,1.5,0.0,697879.05,152329.1,545549.95
3,哥倫布,3.6,3.3,0.09,470525.0,106658.0,363867.0,2.4,1.8,0.33,436174.41,126940.92,309233.49
11,隋我同來,5.3,5.6,-0.05,319601.89,62852.04,256749.85,1.5,1.5,0.0,697879.05,152329.1,545549.95
2,自動自覺,7.7,9.0,-0.14,219985.71,39107.93,180877.78,2.0,2.7,-0.26,523409.29,84627.28,438782.01
10,源好運,10.0,11.0,-0.09,169389.0,31997.4,137391.6,4.0,4.1,-0.02,261704.64,55730.16,205974.48
5,久久為軍,17.0,16.0,0.06,99640.59,21998.21,77642.38,4.3,4.4,-0.02,243446.18,51930.37,191515.81
4,馬鳳凰,20.0,19.0,0.05,84694.5,18524.81,66169.69,5.2,4.9,0.06,201311.26,46631.36,154679.9
13,豐功偉績,22.0,23.0,-0.04,76995.0,15303.1,61691.9,5.7,5.9,-0.03,183652.38,38727.74,144924.64
7,總統輝煌,38.0,30.0,0.27,44576.05,11732.38,32843.67,8.6,7.5,0.15,121723.09,30465.82,91257.27
14,大浪園田,45.0,38.0,0.18,37642.0,9262.41,28379.59,7.7,7.8,-0.01,135950.46,29294.06,106656.4
6,時尚歡欣,59.0,63.0,-0.06,28710.0,5586.85,23123.15,9.3,11.0,-0.15,112561.14,20772.15,91788.99
1,財富非凡,56.0,48.0,0.17,30248.04,7332.74,22915.3,9.8,10.0,-0.02,106818.22,22849.37,83968.85
12,幸運勝利,104.0,90.0,0.16,16287.4,3910.79,12376.61,17.0,15.0,0.13,61577.56,15232.91,46344.65
8,金津寶駒,130.0,107.0,0.21,13029.92,3289.45,9740.47,20.0,18.0,0.11,52340.93,12694.09,39646.84
