horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
9,順善寶,1.9,2.0,-0.05,2564256.32,337414.69,2226841.63,1.4,1.5,-0.07,2505508.5,336687.45,2168821.05
8,迅意,9.8,11.0,-0.11,497151.73,61348.12,435803.61,2.5,3.0,-0.17,1403084.76,168343.72,1234741.04
1,同有運,9.7,9.9,-0.02,502277.01,68164.58,434112.43,2.7,2.8,-0.04,1299152.56,180368.28,1118784.28
10,怡昌奇兵,9.8,10.0,-0.02,497151.73,67482.94,429668.79,2.5,2.0,0.25,1403084.76,252515.59,1150569.17
3,駟跑得,11.0,10.0,0.1,442917.0,67482.94,375434.06,3.3,3.9,-0.15,1062943.0,129495.17,933447.83
11,熊噹噹,16.0,17.0,-0.06,304505.44,39695.85,264809.59,3.3,3.8,-0.13,1062943.0,132902.94,930040.06
12,劍無情,17.0,17.0,0.0,286593.35,39695.85,246897.5,3.8,4.4,-0.14,923082.08,114779.81,808302.27
6,鑽得勝,18.0,16.0,0.12,270671.5,42176.84,228494.66,4.4,4.5,-0.02,797207.25,112229.15,684978.1
2,心愛的,21.0,19.0,0.11,232004.14,35517.34,196486.8,5.6,5.2,0.08,626377.12,97121.38,529255.74
4,八里旺,32.0,22.0,0.45,152252.72,30674.06,121578.66,6.7,4.8,0.4,523539.09,105214.83,418324.26
5,雪茄福星,54.0,40.0,0.35,90223.83,16870.73,73353.1,11.0,9.6,0.15,318882.9,52607.41,266275.49
13,駿先生,71.0,55.0,0.29,68620.94,12269.62,56351.32,12.0,9.7,0.24,292309.32,52065.07,240244.25
7,本能,70.0,44.0,0.59,69601.24,15337.03,54264.21,12.0,8.0,0.5,292309.32,63128.9,229180.42
14,鼓浪飛凡,107.0,70.0,0.53,45533.52,9640.42,35893.1,16.0,10.0,0.6,219231.99,50503.12,168728.87
