horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
10,量子力奇,3.7,4.1,-0.1,296135.31,45107.78,251027.53,2.2,2.0,0.1,318950.25,63702.79,255247.46
2,醒目高球,4.5,3.9,0.15,243489.03,47421.0,196068.03,1.8,1.4,0.29,389828.08,91003.98,298824.1
1,跨境寶馬,6.2,6.5,-0.05,176725.91,28452.6,148273.31,1.7,2.4,-0.29,412759.15,53085.66,359673.49
4,寶進,7.4,8.7,-0.15,148067.66,21257.69,126809.97,2.1,2.3,-0.09,334138.36,55393.73,278744.63
6,興馳千里,10.0,15.0,-0.33,109570.07,12329.46,97240.61,3.2,5.0,-0.36,219278.3,25481.12,193797.18
5,超寫意,11.0,9.3,0.18,99609.15,19886.23,79722.92,3.7,3.5,0.06,189646.09,36401.59,153244.5
12,怡昌光輝,15.0,18.0,-0.17,73046.71,10274.55,62772.16,3.9,4.5,-0.13,179920.65,28312.35,151608.3
3,競駿皇者,18.0,14.0,0.29,60872.26,13210.14,47662.12,5.4,5.3,0.02,129942.69,24038.79,105903.9
11,煌上,23.0,18.0,0.28,47639.16,10274.55,37364.61,6.0,4.9,0.22,116948.42,26001.14,90947.28
9,帥帥友福,29.0,23.0,0.26,37782.78,8040.95,29741.83,6.0,3.7,0.62,116948.42,34433.94,82514.48
7,三甲之星,33.0,33.0,0.0,33203.05,5604.3,27598.75,6.9,8.6,-0.2,101694.28,14814.6,86879.68
8,勇冠群英,51.0,34.0,0.5,21484.33,5439.47,16044.86,9.7,6.6,0.47,72339.23,19303.88,53035.35
