日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-07-05,ST,grass,好/快,1200,814,08,隼風雲,11,1,2,45.3,46.26,-0.64,23.82,1.37,70.08,0.73,9,八駿福昇,飛輪霸,高感,梁家俊,班德禮,4,127,118
2025-10-04,ST,grass,好/快,1400,069,14,隼風雲,11,1,7,57.81,58.29,-0.31,25.06,1.66,83.35,1.35,8,龍城強將,競駿良駒,大千雄心,班德禮,班德禮,4,126,118
2025-12-14,ST,grass,好,1400,254,03,隼風雲,11,1,9,58.7,59.34,0.74,23.32,-0.08,82.66,0.66,10,金滙千帥,安都,隼風雲,班德禮,班德禮,4,122,118
2026-01-04,ST,grass,好,1400,318,05,隼風雲,11,1,10,57.48,58.4,-0.2,23.8,0.4,82.2,0.2,10,威武年代,仁仁有餘,超開心,班德禮,班德禮,4,125,118
2026-01-25,ST,grass,好/快,1400,380,10,隼風雲,11,1,7,57.61,58.41,-0.19,24.04,0.64,82.45,0.45,9,心雄雄,友瑩仁,哥倫布,班德禮,班德禮,4,122,118
2026-02-19,ST,grass,好,1600,446,03,隼風雲,11,1,4,71.45,72.21,1.11,23.01,-0.79,95.22,0.32,10,勤德天下,本領輝煌,隼風雲,金誠剛,班德禮,4,120,118
2026-03-08,ST,grass,好,1600,499,11,隼風雲,11,1,9,70.66,71.58,0.48,23.41,-0.39,94.99,0.09,9,黃金騎士,八仟財陞,睿智多寶,金誠剛,班德禮,4,121,118
2026-04-06,ST,grass,好,1600,576,05,隼風雲,11,1,1,73.09,73.41,2.31,22.7,-1.1,96.11,1.21,7,大回報,天蓬貓,紅衣醒目,班德禮,班德禮,4,124,118
