日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-05-19,ST,grass,好,1400,680,10,奮鬥輝煌,8,5,12,59.28,60.48,1.88,23.78,0.38,84.26,2.26,12,信心星,艾莉奧,大利好運,潘明輝,布浩榮,4,125,125
2024-06-05,HV,grass,好/黏,1650,728,09,奮鬥輝煌,8,5,4,77.08,77.68,1.83,25.27,1.02,102.95,2.85,7,北海盜,紅海勁,信心星,何澤堯,布浩榮,4,128,125
2024-10-23,ST,dirt,好,1650,124,09,奮鬥輝煌,8,5,11,75.54,76.82,1.57,25.04,1.24,101.86,2.81,11,堅有利,超旺財,年年友福,周俊樂,布浩榮,4,121,125
2024-11-13,HV,grass,好,1650,177,06,奮鬥輝煌,8,5,6,75.73,76.53,0.68,23.96,-0.29,100.49,0.39,9,勝意,風起雲湧,爆熱,湯普新,布浩榮,4,123,125
2024-11-27,HV,grass,好,1650,214,05,奮鬥輝煌,8,5,8,77.37,77.85,2.0,23.4,-0.85,101.25,1.15,8,都靈勇士,美麗歡聲,經典時代,湯普新,布浩榮,4,123,125
2024-12-26,HV,grass,好,1650,294,06,奮鬥輝煌,8,5,9,75.76,76.76,0.91,23.3,-0.95,100.06,-0.04,10,追風,智勇名駒,香港神駒,艾兆禮,布浩榮,4,121,125
2025-01-08,HV,grass,好,1650,333,02,奮鬥輝煌,8,5,9,77.08,77.76,1.91,23.42,-0.83,101.18,1.08,12,風起雲湧,奮鬥輝煌,君智盛,艾兆禮,布浩榮,4,118,125
2025-01-22,HV,grass,好,1650,370,01,奮鬥輝煌,8,5,5,76.81,77.21,1.36,23.4,-0.85,100.61,0.51,7,奮鬥輝煌,紅海勁,滿心星,田泰安,布浩榮,4,121,125
2025-02-05,HV,grass,好,1800,403,04,奮鬥輝煌,8,5,7,85.48,86.48,1.18,23.38,-0.97,109.86,0.21,9,北海盜,皇仁福星,妙算奇勝,田泰安,布浩榮,4,127,125
2025-03-12,HV,grass,好/快,1650,500,05,奮鬥輝煌,8,5,11,75.79,76.75,0.9,23.78,-0.47,100.53,0.43,9,智勇名駒,爆笑,論文,田泰安,布浩榮,4,124,125
2025-04-02,HV,grass,好/快,1650,558,03,奮鬥輝煌,8,5,7,75.43,76.07,0.22,23.64,-0.61,99.71,-0.39,10,醒目先駒,神駒馬靈,奮鬥輝煌,田泰安,布浩榮,4,124,125
2025-04-16,HV,grass,好/快,1650,594,04,奮鬥輝煌,8,5,6,75.57,76.29,0.44,23.68,-0.57,99.97,-0.13,9,飈誌,馬主雄風,翠兒威威,田泰安,布浩榮,4,124,125
2025-05-07,HV,grass,好,1650,654,01,奮鬥輝煌,8,5,7,76.5,77.06,1.21,23.61,-0.64,100.67,0.57,7,奮鬥輝煌,好好紛,三軍勇將,田泰安,布浩榮,4,123,125
2025-05-28,HV,grass,好/快,1650,715,02,奮鬥輝煌,8,5,9,75.57,76.25,0.4,23.88,-0.37,100.13,0.03,8,滿心星,奮鬥輝煌,爆笑,田泰安,布浩榮,4,129,125
2025-06-25,HV,grass,好/快,1650,781,06,奮鬥輝煌,8,5,1,75.64,76.04,0.19,23.82,-0.43,99.86,-0.24,5,奔妙星,康昌之星,華美之威,田泰安,布浩榮,4,130,125
2025-10-08,HV,grass,好/快,1650,077,12,奮鬥輝煌,8,5,11,76.24,77.08,1.23,23.88,-0.37,100.96,0.86,12,紅海勁,凝妙星,錶之量子,田泰安,布浩榮,4,130,125
2025-11-02,HV,grass,好/快,1650,143,04,奮鬥輝煌,8,5,6,74.83,75.27,-0.58,24.28,0.03,99.55,-0.55,3,凡凡有餘,建測羣英,多利神駒,田泰安,布浩榮,4,130,125
2025-11-26,HV,grass,好/快,1650,214,05,奮鬥輝煌,8,5,2,77.34,77.82,1.97,22.82,-1.43,100.64,0.54,6,凱明神駒,康昌之星,瑞祺威楓,田泰安,布浩榮,4,130,125
2025-12-23,HV,grass,好,1650,285,04,奮鬥輝煌,8,5,11,75.45,75.77,-0.08,24.32,0.07,100.09,-0.01,3,活力精神,駟跑得,都靈勇士,田泰安,布浩榮,4,130,125
2026-01-11,ST,grass,好/快,1400,338,07,奮鬥輝煌,8,5,11,58.17,58.41,-0.19,24.41,1.01,82.82,0.82,3,機械之星,龍城強將,跨境駿馬,周俊樂,布浩榮,4,127,125
2026-02-01,ST,grass,好,1600,400,07,奮鬥輝煌,8,5,5,71.05,71.41,0.31,23.56,-0.24,94.97,0.07,5,火悟空,機械之星,滿洛城,周俊樂,布浩榮,4,125,125
2026-02-25,HV,grass,好,1650,471,02,奮鬥輝煌,8,5,2,76.04,76.28,0.43,23.8,-0.45,100.08,-0.02,3,翠兒威威,奮鬥輝煌,極速滿貫,麥文堅,布浩榮,4,127,125
2026-03-11,HV,grass,好/快,1650,508,04,奮鬥輝煌,8,5,6,75.83,75.99,0.14,23.95,-0.3,99.94,-0.16,3,喜馬,八心之星,大數據,麥文堅,布浩榮,4,128,125
2026-04-08,HV,grass,好,1650,588,04,奮鬥輝煌,8,5,9,75.91,75.99,0.14,24.01,-0.24,100.0,-0.1,1,喜馬,勁進駒,榮利雙收,布文,布浩榮,4,127,125
