日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2026-01-18,ST,grass,好,1200,355,06,騰達勇士,10,13,13,46.07,47.43,0.53,22.35,-0.1,69.78,0.43,14,冷娃,綫路英雄,銳目,何澤堯,莫雷拉,4,128,123
2026-03-01,ST,grass,好,1400,477,05,騰達勇士,10,13,11,58.61,59.33,0.73,23.37,-0.03,82.7,0.7,13,綫路萬里,文武全能,進傲星,何澤堯,莫雷拉,4,127,123
2026-04-12,ST,grass,好,1400,597,10,騰達勇士,10,13,11,59.21,60.25,1.65,22.97,-0.43,83.22,1.22,14,開心老闆,醒目先駒,創寶駒,莫雷拉,莫雷拉,4,125,123
