horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,巴閉佬,16.0,16.0,0.0,1121491.18,1121491.18,0.0,4.7,4.7,0.0,3848213.03,3848213.03,0.0
2,太勝駒,63.0,63.0,0.0,284823.16,284823.16,0.0,19.0,19.0,0.0,951926.38,951926.38,0.0
3,銳一,3.6,3.6,0.0,4984405.25,4984405.25,0.0,1.5,1.5,0.0,12057734.15,12057734.15,0.0
4,鼓浪高升,47.0,47.0,0.0,381784.23,381784.23,0.0,10.0,10.0,0.0,1808660.12,1808660.12,0.0
5,魅力星,14.0,14.0,0.0,1281704.21,1281704.21,0.0,4.3,4.3,0.0,4206186.33,4206186.33,0.0
6,銀亮濠俠,11.0,11.0,0.0,1631259.9,1631259.9,0.0,2.9,2.9,0.0,6236759.04,6236759.04,0.0
7,日頌月讚,41.0,41.0,0.0,437655.1,437655.1,0.0,8.8,8.8,0.0,2055295.59,2055295.59,0.0
8,城中勇士,8.0,8.0,0.0,2242982.36,2242982.36,0.0,2.5,2.5,0.0,7234640.49,7234640.49,0.0
9,東方寶寶,8.9,8.9,0.0,2016163.92,2016163.92,0.0,2.8,2.8,0.0,6459500.44,6459500.44,0.0
10,南區旺,9.8,9.8,0.0,1831006.01,1831006.01,0.0,3.0,3.0,0.0,6028867.07,6028867.07,0.0
11,太行美景,17.0,17.0,0.0,1055521.11,1055521.11,0.0,5.0,5.0,0.0,3617320.25,3617320.25,0.0
12,爆熱,3.7,3.7,0.0,4849691.59,4849691.59,0.0,1.5,1.5,0.0,12057734.15,12057734.15,0.0
