horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
3,捷威,4.2,4.3,-0.02,588986.75,121826.22,467160.53,1.6,1.8,-0.11,1164412.73,207112.58,957300.15
2,凝妙星,5.9,6.4,-0.08,419278.7,81851.99,337426.71,2.2,2.1,0.05,846845.62,177525.07,669320.55
1,紅衣醒目,5.9,6.0,-0.02,419278.7,87308.79,331969.91,2.3,2.8,-0.18,810026.25,133143.8,676882.45
8,天蓬貓,7.9,6.5,0.22,313132.2,80592.73,232539.47,3.0,2.1,0.43,621020.12,177525.07,443495.05
5,萬事勝利,9.4,10.0,-0.06,263164.29,52385.27,210779.02,2.9,3.7,-0.22,642434.61,100757.47,541677.14
4,好運年,10.0,13.0,-0.23,247374.43,40296.36,207078.07,3.1,3.5,-0.11,600987.22,106515.04,494472.18
9,隼風雲,15.0,13.0,0.15,164916.29,40296.36,124619.93,4.8,4.0,0.2,388137.58,93200.66,294936.92
12,威力非凡,17.0,18.0,-0.06,145514.37,29102.93,116411.44,4.3,4.6,-0.07,433269.85,81044.05,352225.8
6,家樂寶駒,18.0,20.0,-0.1,137430.24,26192.64,111237.6,5.6,5.7,-0.02,332689.35,65403.97,267285.38
7,大回報,18.0,15.0,0.2,137430.24,34923.51,102506.73,4.9,3.8,0.29,380216.4,98105.96,282110.44
13,堅多福,27.0,32.0,-0.16,91620.16,16370.4,75249.76,6.2,6.9,-0.1,300493.61,54029.37,246464.24
11,堅闖,27.0,21.0,0.29,91620.16,24945.37,66674.79,7.8,6.9,0.13,238853.89,54029.37,184824.52
10,趣盈,120.0,91.0,0.32,20614.54,5756.62,14857.92,21.0,17.0,0.24,88717.16,21929.57,66787.59
