horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
1,日出東方,4.9,4.8,0.02,578237.28,164680.48,413556.8,1.7,2.0,-0.15,1267426.15,282376.46,985049.69
6,馬運高,6.5,7.8,-0.17,435901.95,101341.84,334560.11,2.2,2.5,-0.12,979374.75,225901.17,753473.58
10,精彩勇將,6.0,5.5,0.09,472227.11,143721.15,328505.96,2.5,2.5,0.0,861849.78,225901.17,635948.61
2,飛輪霸,6.4,6.5,-0.02,442712.92,121610.2,321102.72,2.2,1.9,0.16,979374.75,297238.38,682136.37
11,飛來霸,6.8,7.4,-0.08,416670.98,106819.77,309851.21,2.4,2.3,0.04,897760.19,245544.75,652215.44
7,支付之父,11.0,14.0,-0.21,257578.42,56461.88,201116.54,4.3,5.4,-0.2,501075.45,104583.87,396491.58
4,勝萬金,11.0,8.9,0.24,257578.42,88816.44,168761.98,3.8,3.7,0.03,567006.43,152635.93,414370.5
3,展雄威,13.0,12.0,0.08,217950.97,65872.19,152078.78,4.3,4.0,0.07,501075.45,141188.23,359887.22
13,英雄豪邁,15.0,15.0,0.0,188890.84,52697.75,136193.09,3.5,3.4,0.03,615606.99,166103.8,449503.19
8,一舖掂晒,31.0,30.0,0.03,91398.8,26348.88,65049.92,9.5,7.3,0.3,226802.57,77363.41,149439.16
9,步步合拍,63.0,53.0,0.19,44974.01,14914.46,30059.55,12.0,8.7,0.38,179552.04,64914.13,114637.91
14,喜行,79.0,66.0,0.2,35865.35,11976.76,23888.59,14.0,13.0,0.08,153901.75,43442.53,110459.22
12,摘星聲升,134.0,107.0,0.25,21144.5,7387.54,13756.96,24.0,22.0,0.09,89776.02,25670.59,64105.43
5,電子騰飛,152.0,135.0,0.13,18640.54,5855.31,12785.23,27.0,22.0,0.23,79800.91,25670.59,54130.32
