horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
4,友瑩亮,2.7,3.2,-0.16,410058.31,99286.43,310771.88,1.3,1.4,-0.07,542161.44,153668.62,388492.82
3,大眾福星,4.6,4.4,0.05,240686.4,72208.31,168478.09,1.9,2.0,-0.05,370952.57,107568.04,263384.53
1,首飾天空,6.2,6.2,0.0,178573.78,51244.61,127329.17,1.9,1.8,0.06,370952.57,119520.04,251432.53
7,開心三寶,9.2,10.0,-0.08,120343.2,31771.66,88571.54,2.8,3.6,-0.22,251717.81,59760.02,191957.79
8,超輕鬆,11.0,7.2,0.53,100650.68,44127.3,56523.38,3.0,1.8,0.67,234936.62,119520.04,115416.58
9,臻至辰,14.0,14.0,0.0,79082.67,22694.04,56388.63,3.7,3.6,0.03,190489.16,59760.02,130729.14
5,黃金大亨,23.0,33.0,-0.3,48137.28,9627.77,38509.51,5.8,8.2,-0.29,121518.94,26236.11,95282.83
10,星願無限,23.0,22.0,0.05,48137.28,14441.66,33695.62,6.0,6.9,-0.13,117468.31,31179.14,86289.17
12,手到齊來,23.0,21.0,0.1,48137.28,15129.36,33007.92,5.1,5.4,-0.06,138198.01,39840.01,98358.0
6,奇異果,34.0,23.0,0.48,32563.45,13813.76,18749.69,8.4,6.0,0.4,83905.94,35856.01,48049.93
2,魅力奔騰,46.0,50.0,-0.08,24068.64,6354.33,17714.31,9.5,11.0,-0.14,74190.51,19557.83,54632.68
11,和光同塵,46.0,38.0,0.21,24068.64,8360.96,15707.68,10.0,10.0,0.0,70480.99,21513.61,48967.38
