馬匹編號,馬名,完成時間
7,浪漫戰神,97.94
5,滿心星,98.09
12,澳嘉輝,98.12
8,風火輪,98.23
1,精英雄心,98.55
2,皇龍飛將,98.62
3,電訊巴打,98.65
4,時時精準,98.72
10,紅海勁,98.74
11,凱明神駒,98.89
