馬匹編號,馬名,平均比標準時間
3,開心老闆,0.03
9,君達得,0.07
10,大回報,0.28
5,十二神將,0.35
13,增旺,0.35
7,朗日自強,0.37
12,精算特殊,0.52
1,光年八十,0.53
8,你知我得,0.56
2,自動自覺,0.6
11,明亮光輝,0.68
14,文武全能,0.7
6,逍遙騎士,0.83
4,共創歡欣,0.91
