馬匹編號,馬名,平均比標準時間
2,禾道豐,-0.12
7,加州勇勝,-0.06
12,隋我同來,0.05
10,雷神太保,0.16
13,洪才,0.33
9,翠湖烈風,0.37
6,花開,0.4
8,龍之邦,0.46
4,光年程祥,0.53
1,安泰,0.8
14,巴閉佬,0.92
11,最好玩,1.16
3,銀光奔騰,1.33
5,吉星騎士,1.44
