馬匹編號,馬名,完成時間
1,跨境駿馬,69.59
10,牛精豪情,69.7
8,士登,69.72
9,杭至尊,69.87
7,安定神駒,69.89
2,馬鳳凰,69.9
5,賢知友您,70.01
11,紅海風帆,70.08
12,萬里雲,70.1
