馬匹編號,馬名,平均比標準時間
8,確好勁,0.04
7,一世美麗,0.06
3,嘉應勇將,0.09
1,同心同樂,0.2
11,包裝明將,0.24
2,千帆駒,0.36
12,快搏,0.51
5,勁好運,0.53
4,帥帥友福,0.55
10,孤風潛影,0.95
