日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-11-23,ST,grass,好/快,1200,206,02,威利金箭,9,11,6,46.54,46.7,0.05,22.39,0.04,69.09,0.09,3 3 2,天賜喜,威利金箭,紫荊盛勢,艾道拿,霍宏聲,3,135,133
2025-12-14,ST,grass,好,1400,263,03,威利金箭,9,11,8,59.11,59.11,0.76,23.06,-0.04,82.17,0.72,3 2 1 3,風再起時,飛鷹翱翔,威利金箭,韋紀力,霍宏聲,2,115,133
2026-01-11,ST,grass,好/快,1400,341,04,威利金箭,9,11,5,57.49,57.65,-0.7,23.64,0.54,81.29,-0.16,2 4 3 4,小鳥天堂,晒冷,駿跑得,艾兆禮,霍宏聲,2,118,133
