馬匹編號,馬名,平均比標準時間
5,光年程祥,0.05
2,大番薯,0.1
1,八駿福昇,0.14
6,金玉良言,0.27
8,疾風財子,0.31
9,良駒好友,0.32
10,賢知友您,0.44
11,勇者無敵,0.51
3,狼來了,0.68
4,天天耍樂,0.72
7,飛躍星伴,0.74
12,摯友心得,0.9
