馬匹編號,馬名,平均比標準時間
6,蜜蜜送,-0.4
5,開心宇宙,-0.24
8,森林之王,-0.23
2,加州星馳,-0.04
13,風起雲湧,0.05
12,精算特殊,0.2
1,澳嘉輝,0.27
11,精明選擇,0.4
4,艾莉奧,0.51
3,本領輝煌,0.6
10,榮耀盛甲,0.64
14,十力,0.72
9,北海盜,0.8
7,有派頭,0.95
