馬匹編號,馬名,完成時間
1,偵探傳奇,68.18
2,伶俐驫駒,68.35
12,後無來者,68.97
11,猛將兄,69.09
3,常嚐發財,69.13
6,瑤瑤日上,69.14
10,旭能精英,69.8
9,運來伍寶,69.84
