馬匹編號,馬名,平均比標準時間
12,龍又生,-0.08
3,古惑大師,0.07
7,堅多福,0.11
1,架勢奇爸,0.51
4,光輝歲月,0.54
11,盈利寶馬,0.58
10,肥仔精神,0.71
2,齊歡最樂,0.72
6,捷足奔馳,0.74
5,幸運同行,0.77
8,風雲,0.93
9,開心三多,1.28
