馬匹編號,馬名,平均比標準時間
5,歷險大將,-0.13
10,東方魅影,-0.0
2,八里旺,0.14
3,至旺財,0.2
11,朗日雪峰,0.41
6,銳一,0.64
8,魅力星,0.69
7,日頌月讚,0.7
9,南區旺,0.7
4,千杯,0.84
1,問鼎巔峰,0.94
12,發光發亮,1.4
