馬匹編號,馬名,平均比標準時間
3,相映紅,-0.58
1,銀亮奔騰,-0.24
11,魅力知耀,-0.23
5,將義,-0.09
7,好實力,0.05
6,勁好運,0.24
2,有財有勢,0.45
9,建測羣英,0.54
4,爆笑,0.56
12,暴風之子,0.61
10,超加加,0.74
8,喜豐年,0.92
