horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
2,精英雄心,4.0,4.0,0.0,57756.6,28017.62,29738.98,1.5,2.3,-0.35,110746.9,34066.4,76680.5
7,浪漫戰神,7.3,8.2,-0.11,31647.45,13667.13,17980.32,3.0,3.1,-0.03,55373.45,25275.07,30098.38
3,皇龍飛將,7.4,7.0,0.06,31219.78,16010.07,15209.71,2.9,2.7,0.07,57282.88,29019.53,28263.35
12,包裝戰仕,9.5,12.0,-0.21,24318.57,9339.21,14979.36,2.5,2.5,0.0,66448.14,31341.09,35107.05
9,哪吒,8.0,8.0,0.0,28878.3,14008.81,14869.49,3.2,2.6,0.23,51912.61,30135.66,21776.95
8,安泰,13.0,14.0,-0.07,17771.26,8005.03,9766.23,5.4,7.0,-0.23,30763.03,11193.25,19569.78
10,友贏威馳,14.0,14.0,0.0,16501.89,8005.03,8496.86,4.6,5.1,-0.1,36113.12,15363.28,20749.84
4,將睿,17.0,17.0,0.0,13589.79,6592.38,6997.41,5.2,4.6,0.13,31946.22,17033.2,14913.02
5,電訊巴打,16.0,14.0,0.14,14439.15,8005.03,6434.12,4.2,3.1,0.35,39552.46,25275.07,14277.39
6,優才,17.0,15.0,0.13,13589.79,7471.36,6118.43,4.9,5.4,-0.09,33902.11,14509.76,19392.35
1,遨遊武士,24.0,24.0,0.0,9626.1,4669.6,4956.5,7.1,6.0,0.18,23397.23,13058.79,10338.44
14,紅海勁,22.0,20.0,0.1,10501.2,5603.52,4897.68,5.1,3.8,0.34,32572.62,20619.14,11953.48
11,超勝無敵,21.0,18.0,0.17,11001.26,6226.14,4775.12,7.0,6.0,0.17,23731.48,13058.79,10672.69
13,孤風潛影,61.0,52.0,0.17,3787.32,2155.2,1632.12,11.0,10.0,0.1,15101.85,7835.27,7266.58
